W0503 01:48:48.904000 49582 torch/distributed/run.py:852] 
W0503 01:48:48.904000 49582 torch/distributed/run.py:852] *****************************************
W0503 01:48:48.904000 49582 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0503 01:48:48.904000 49582 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 91678.78it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93727.46it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 91678.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92182.51it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 83055.52it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 83055.52it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 43919.41it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 97541.95it/s]
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank [Gloo] Rank 104 is connected to  is connected to  is connected to 777 peer ranks.  peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 777


[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 
[Gloo] Rank 6 is connected to 57 is connected to  peer ranks. 7Expected number of connected peer ranks is : [Gloo] Rank  peer ranks. 77Expected number of connected peer ranks is : 
 is connected to 77
 peer ranks. Expected number of connected peer ranks is : 7
logs/medium_runs/token_strided_conv_w8_e32_left_20260503_014841.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 343, 344, 345, 687, 688, 689, 1031, 1032, 1033, 1374, 1375, 1376, 1718, 1719, 1720, 2062, 2063, 2064, 2406, 2407, 2408, 2749, 2750, 2751] for warmup
Resetting Model
step:0/4150 val_loss:10.8298 train_time:0ms step_avg:0.04ms
step:1/4150 train_time:75ms step_avg:74.86ms
step:2/4150 train_time:115ms step_avg:57.65ms
step:3/4150 train_time:176ms step_avg:58.79ms
step:4/4150 train_time:238ms step_avg:59.61ms
step:5/4150 train_time:302ms step_avg:60.31ms
step:6/4150 train_time:362ms step_avg:60.36ms
step:7/4150 train_time:426ms step_avg:60.79ms
step:8/4150 train_time:487ms step_avg:60.86ms
step:9/4150 train_time:551ms step_avg:61.25ms
step:10/4150 train_time:612ms step_avg:61.25ms
step:11/4150 train_time:677ms step_avg:61.52ms
step:12/4150 train_time:739ms step_avg:61.54ms
step:13/4150 train_time:802ms step_avg:61.72ms
step:14/4150 train_time:864ms step_avg:61.71ms
step:15/4150 train_time:928ms step_avg:61.87ms
step:16/4150 train_time:992ms step_avg:62.00ms
step:17/4150 train_time:1059ms step_avg:62.30ms
step:18/4150 train_time:1123ms step_avg:62.39ms
step:19/4150 train_time:1188ms step_avg:62.52ms
step:20/4150 train_time:1250ms step_avg:62.52ms
step:21/4150 train_time:1316ms step_avg:62.68ms
step:22/4150 train_time:1378ms step_avg:62.66ms
step:23/4150 train_time:1443ms step_avg:62.73ms
step:24/4150 train_time:1505ms step_avg:62.69ms
step:25/4150 train_time:1568ms step_avg:62.73ms
step:26/4150 train_time:1630ms step_avg:62.69ms
step:27/4150 train_time:1694ms step_avg:62.73ms
step:28/4150 train_time:1756ms step_avg:62.70ms
step:29/4150 train_time:1820ms step_avg:62.77ms
step:30/4150 train_time:1884ms step_avg:62.80ms
step:31/4150 train_time:1949ms step_avg:62.86ms
step:32/4150 train_time:2012ms step_avg:62.86ms
step:33/4150 train_time:2077ms step_avg:62.95ms
step:34/4150 train_time:2141ms step_avg:62.97ms
step:35/4150 train_time:2206ms step_avg:63.03ms
step:36/4150 train_time:2268ms step_avg:63.01ms
step:37/4150 train_time:2334ms step_avg:63.07ms
step:38/4150 train_time:2397ms step_avg:63.07ms
step:39/4150 train_time:2461ms step_avg:63.10ms
step:40/4150 train_time:2524ms step_avg:63.09ms
step:41/4150 train_time:2589ms step_avg:63.14ms
step:42/4150 train_time:2650ms step_avg:63.11ms
step:43/4150 train_time:2715ms step_avg:63.14ms
step:44/4150 train_time:2776ms step_avg:63.10ms
step:45/4150 train_time:2840ms step_avg:63.12ms
step:46/4150 train_time:2903ms step_avg:63.11ms
step:47/4150 train_time:2968ms step_avg:63.15ms
step:48/4150 train_time:3031ms step_avg:63.14ms
step:49/4150 train_time:3096ms step_avg:63.19ms
step:50/4150 train_time:3160ms step_avg:63.20ms
step:51/4150 train_time:3226ms step_avg:63.26ms
step:52/4150 train_time:3288ms step_avg:63.24ms
step:53/4150 train_time:3354ms step_avg:63.29ms
step:54/4150 train_time:3417ms step_avg:63.27ms
step:55/4150 train_time:3483ms step_avg:63.34ms
step:56/4150 train_time:3547ms step_avg:63.34ms
step:57/4150 train_time:3612ms step_avg:63.37ms
step:58/4150 train_time:3674ms step_avg:63.34ms
step:59/4150 train_time:3738ms step_avg:63.36ms
step:60/4150 train_time:3800ms step_avg:63.34ms
step:61/4150 train_time:3866ms step_avg:63.37ms
step:62/4150 train_time:3928ms step_avg:63.35ms
step:63/4150 train_time:3993ms step_avg:63.37ms
step:64/4150 train_time:4055ms step_avg:63.35ms
step:65/4150 train_time:4120ms step_avg:63.39ms
step:66/4150 train_time:4183ms step_avg:63.38ms
step:67/4150 train_time:4249ms step_avg:63.42ms
step:68/4150 train_time:4312ms step_avg:63.41ms
step:69/4150 train_time:4376ms step_avg:63.43ms
step:70/4150 train_time:4439ms step_avg:63.42ms
step:71/4150 train_time:4505ms step_avg:63.46ms
step:72/4150 train_time:4567ms step_avg:63.44ms
step:73/4150 train_time:4632ms step_avg:63.45ms
step:74/4150 train_time:4694ms step_avg:63.43ms
step:75/4150 train_time:4759ms step_avg:63.45ms
step:76/4150 train_time:4822ms step_avg:63.44ms
step:77/4150 train_time:4887ms step_avg:63.47ms
step:78/4150 train_time:4949ms step_avg:63.45ms
step:79/4150 train_time:5014ms step_avg:63.47ms
step:80/4150 train_time:5076ms step_avg:63.45ms
step:81/4150 train_time:5141ms step_avg:63.47ms
step:82/4150 train_time:5204ms step_avg:63.46ms
step:83/4150 train_time:5269ms step_avg:63.48ms
step:84/4150 train_time:5332ms step_avg:63.48ms
step:85/4150 train_time:5397ms step_avg:63.49ms
step:86/4150 train_time:5460ms step_avg:63.49ms
step:87/4150 train_time:5524ms step_avg:63.50ms
step:88/4150 train_time:5587ms step_avg:63.49ms
step:89/4150 train_time:5652ms step_avg:63.51ms
step:90/4150 train_time:5714ms step_avg:63.49ms
step:91/4150 train_time:5778ms step_avg:63.49ms
step:92/4150 train_time:5840ms step_avg:63.48ms
step:93/4150 train_time:5905ms step_avg:63.49ms
step:94/4150 train_time:5967ms step_avg:63.47ms
step:95/4150 train_time:6032ms step_avg:63.49ms
step:96/4150 train_time:6094ms step_avg:63.48ms
step:97/4150 train_time:6159ms step_avg:63.50ms
step:98/4150 train_time:6221ms step_avg:63.48ms
step:99/4150 train_time:6286ms step_avg:63.50ms
step:100/4150 train_time:6349ms step_avg:63.49ms
step:101/4150 train_time:6414ms step_avg:63.50ms
step:102/4150 train_time:6476ms step_avg:63.49ms
step:103/4150 train_time:6541ms step_avg:63.51ms
step:104/4150 train_time:6604ms step_avg:63.50ms
step:105/4150 train_time:6668ms step_avg:63.50ms
step:106/4150 train_time:6730ms step_avg:63.49ms
step:107/4150 train_time:6796ms step_avg:63.52ms
step:108/4150 train_time:6857ms step_avg:63.49ms
step:109/4150 train_time:6922ms step_avg:63.51ms
step:110/4150 train_time:6984ms step_avg:63.49ms
step:111/4150 train_time:7050ms step_avg:63.51ms
step:112/4150 train_time:7111ms step_avg:63.49ms
step:113/4150 train_time:7177ms step_avg:63.51ms
step:114/4150 train_time:7239ms step_avg:63.50ms
step:115/4150 train_time:7303ms step_avg:63.51ms
step:116/4150 train_time:7366ms step_avg:63.50ms
step:117/4150 train_time:7431ms step_avg:63.51ms
step:118/4150 train_time:7494ms step_avg:63.51ms
step:119/4150 train_time:7560ms step_avg:63.53ms
step:120/4150 train_time:7623ms step_avg:63.53ms
step:121/4150 train_time:7688ms step_avg:63.54ms
step:122/4150 train_time:7750ms step_avg:63.52ms
step:123/4150 train_time:7815ms step_avg:63.53ms
step:124/4150 train_time:7876ms step_avg:63.52ms
step:125/4150 train_time:7941ms step_avg:63.53ms
step:126/4150 train_time:8004ms step_avg:63.52ms
step:127/4150 train_time:8069ms step_avg:63.54ms
step:128/4150 train_time:8132ms step_avg:63.53ms
step:129/4150 train_time:8197ms step_avg:63.54ms
step:130/4150 train_time:8259ms step_avg:63.53ms
step:131/4150 train_time:8325ms step_avg:63.55ms
step:132/4150 train_time:8388ms step_avg:63.54ms
step:133/4150 train_time:8453ms step_avg:63.55ms
step:134/4150 train_time:8515ms step_avg:63.54ms
step:135/4150 train_time:8579ms step_avg:63.55ms
step:136/4150 train_time:8641ms step_avg:63.54ms
step:137/4150 train_time:8706ms step_avg:63.55ms
step:138/4150 train_time:8768ms step_avg:63.54ms
step:139/4150 train_time:8832ms step_avg:63.54ms
step:140/4150 train_time:8894ms step_avg:63.53ms
step:141/4150 train_time:8959ms step_avg:63.54ms
step:142/4150 train_time:9022ms step_avg:63.53ms
step:143/4150 train_time:9086ms step_avg:63.54ms
step:144/4150 train_time:9149ms step_avg:63.53ms
step:145/4150 train_time:9214ms step_avg:63.54ms
step:146/4150 train_time:9277ms step_avg:63.54ms
step:147/4150 train_time:9342ms step_avg:63.55ms
step:148/4150 train_time:9404ms step_avg:63.54ms
step:149/4150 train_time:9468ms step_avg:63.54ms
step:150/4150 train_time:9530ms step_avg:63.53ms
step:151/4150 train_time:9594ms step_avg:63.53ms
step:152/4150 train_time:9655ms step_avg:63.52ms
step:153/4150 train_time:9721ms step_avg:63.53ms
step:154/4150 train_time:9782ms step_avg:63.52ms
step:155/4150 train_time:9847ms step_avg:63.53ms
step:156/4150 train_time:9910ms step_avg:63.52ms
step:157/4150 train_time:9974ms step_avg:63.53ms
step:158/4150 train_time:10037ms step_avg:63.52ms
step:159/4150 train_time:10101ms step_avg:63.53ms
step:160/4150 train_time:10164ms step_avg:63.52ms
step:161/4150 train_time:10228ms step_avg:63.53ms
step:162/4150 train_time:10292ms step_avg:63.53ms
step:163/4150 train_time:10357ms step_avg:63.54ms
step:164/4150 train_time:10419ms step_avg:63.53ms
step:165/4150 train_time:10484ms step_avg:63.54ms
step:166/4150 train_time:10546ms step_avg:63.53ms
step:167/4150 train_time:10611ms step_avg:63.54ms
step:168/4150 train_time:10673ms step_avg:63.53ms
step:169/4150 train_time:10737ms step_avg:63.53ms
step:170/4150 train_time:10800ms step_avg:63.53ms
step:171/4150 train_time:10865ms step_avg:63.54ms
step:172/4150 train_time:10926ms step_avg:63.52ms
step:173/4150 train_time:10990ms step_avg:63.53ms
step:174/4150 train_time:11052ms step_avg:63.52ms
step:175/4150 train_time:11118ms step_avg:63.53ms
step:176/4150 train_time:11180ms step_avg:63.52ms
step:177/4150 train_time:11245ms step_avg:63.53ms
step:178/4150 train_time:11307ms step_avg:63.52ms
step:179/4150 train_time:11372ms step_avg:63.53ms
step:180/4150 train_time:11435ms step_avg:63.53ms
step:181/4150 train_time:11500ms step_avg:63.53ms
step:182/4150 train_time:11561ms step_avg:63.52ms
step:183/4150 train_time:11626ms step_avg:63.53ms
step:184/4150 train_time:11688ms step_avg:63.52ms
step:185/4150 train_time:11752ms step_avg:63.53ms
step:186/4150 train_time:11814ms step_avg:63.52ms
step:187/4150 train_time:11879ms step_avg:63.52ms
step:188/4150 train_time:11941ms step_avg:63.52ms
step:189/4150 train_time:12006ms step_avg:63.52ms
step:190/4150 train_time:12067ms step_avg:63.51ms
step:191/4150 train_time:12132ms step_avg:63.52ms
step:192/4150 train_time:12195ms step_avg:63.52ms
step:193/4150 train_time:12260ms step_avg:63.52ms
step:194/4150 train_time:12323ms step_avg:63.52ms
step:195/4150 train_time:12387ms step_avg:63.52ms
step:196/4150 train_time:12450ms step_avg:63.52ms
step:197/4150 train_time:12514ms step_avg:63.52ms
step:198/4150 train_time:12576ms step_avg:63.51ms
step:199/4150 train_time:12639ms step_avg:63.52ms
step:200/4150 train_time:12702ms step_avg:63.51ms
step:201/4150 train_time:12768ms step_avg:63.52ms
step:202/4150 train_time:12829ms step_avg:63.51ms
step:203/4150 train_time:12893ms step_avg:63.51ms
step:204/4150 train_time:12955ms step_avg:63.51ms
step:205/4150 train_time:13020ms step_avg:63.51ms
step:206/4150 train_time:13082ms step_avg:63.51ms
step:207/4150 train_time:13148ms step_avg:63.52ms
step:208/4150 train_time:13210ms step_avg:63.51ms
step:209/4150 train_time:13274ms step_avg:63.51ms
step:210/4150 train_time:13336ms step_avg:63.51ms
step:211/4150 train_time:13401ms step_avg:63.51ms
step:212/4150 train_time:13463ms step_avg:63.50ms
step:213/4150 train_time:13528ms step_avg:63.51ms
step:214/4150 train_time:13590ms step_avg:63.50ms
step:215/4150 train_time:13655ms step_avg:63.51ms
step:216/4150 train_time:13717ms step_avg:63.50ms
step:217/4150 train_time:13781ms step_avg:63.51ms
step:218/4150 train_time:13843ms step_avg:63.50ms
step:219/4150 train_time:13908ms step_avg:63.51ms
step:220/4150 train_time:13970ms step_avg:63.50ms
step:221/4150 train_time:14034ms step_avg:63.50ms
step:222/4150 train_time:14096ms step_avg:63.50ms
step:223/4150 train_time:14162ms step_avg:63.51ms
step:224/4150 train_time:14224ms step_avg:63.50ms
step:225/4150 train_time:14288ms step_avg:63.50ms
step:226/4150 train_time:14351ms step_avg:63.50ms
step:227/4150 train_time:14416ms step_avg:63.51ms
step:228/4150 train_time:14478ms step_avg:63.50ms
step:229/4150 train_time:14542ms step_avg:63.50ms
step:230/4150 train_time:14604ms step_avg:63.50ms
step:231/4150 train_time:14668ms step_avg:63.50ms
step:232/4150 train_time:14730ms step_avg:63.49ms
step:233/4150 train_time:14795ms step_avg:63.50ms
step:234/4150 train_time:14857ms step_avg:63.49ms
step:235/4150 train_time:14922ms step_avg:63.50ms
step:236/4150 train_time:14984ms step_avg:63.49ms
step:237/4150 train_time:15048ms step_avg:63.50ms
step:238/4150 train_time:15111ms step_avg:63.49ms
step:239/4150 train_time:15175ms step_avg:63.49ms
step:240/4150 train_time:15237ms step_avg:63.49ms
step:241/4150 train_time:15302ms step_avg:63.49ms
step:242/4150 train_time:15364ms step_avg:63.49ms
step:243/4150 train_time:15428ms step_avg:63.49ms
step:244/4150 train_time:15491ms step_avg:63.49ms
step:245/4150 train_time:15556ms step_avg:63.49ms
step:246/4150 train_time:15617ms step_avg:63.48ms
step:247/4150 train_time:15682ms step_avg:63.49ms
step:248/4150 train_time:15744ms step_avg:63.48ms
step:249/4150 train_time:15809ms step_avg:63.49ms
step:250/4150 train_time:15870ms step_avg:63.48ms
step:250/4150 val_loss:4.4478 train_time:15930ms step_avg:63.72ms
step:251/4150 train_time:15952ms step_avg:63.56ms
step:252/4150 train_time:15999ms step_avg:63.49ms
step:253/4150 train_time:16061ms step_avg:63.48ms
step:254/4150 train_time:16122ms step_avg:63.47ms
step:255/4150 train_time:16186ms step_avg:63.48ms
step:256/4150 train_time:16250ms step_avg:63.48ms
step:257/4150 train_time:16317ms step_avg:63.49ms
step:258/4150 train_time:16379ms step_avg:63.49ms
step:259/4150 train_time:16444ms step_avg:63.49ms
step:260/4150 train_time:16507ms step_avg:63.49ms
step:261/4150 train_time:16571ms step_avg:63.49ms
step:262/4150 train_time:16632ms step_avg:63.48ms
step:263/4150 train_time:16695ms step_avg:63.48ms
step:264/4150 train_time:16756ms step_avg:63.47ms
step:265/4150 train_time:16821ms step_avg:63.47ms
step:266/4150 train_time:16885ms step_avg:63.48ms
step:267/4150 train_time:16951ms step_avg:63.49ms
step:268/4150 train_time:17013ms step_avg:63.48ms
step:269/4150 train_time:17077ms step_avg:63.48ms
step:270/4150 train_time:17139ms step_avg:63.48ms
step:271/4150 train_time:17203ms step_avg:63.48ms
step:272/4150 train_time:17266ms step_avg:63.48ms
step:273/4150 train_time:17330ms step_avg:63.48ms
step:274/4150 train_time:17392ms step_avg:63.48ms
step:275/4150 train_time:17458ms step_avg:63.48ms
step:276/4150 train_time:17522ms step_avg:63.48ms
step:277/4150 train_time:17585ms step_avg:63.48ms
step:278/4150 train_time:17646ms step_avg:63.48ms
step:279/4150 train_time:17711ms step_avg:63.48ms
step:280/4150 train_time:17771ms step_avg:63.47ms
