W0503 02:21:10.816000 77457 torch/distributed/run.py:852] 
W0503 02:21:10.816000 77457 torch/distributed/run.py:852] *****************************************
W0503 02:21:10.816000 77457 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0503 02:21:10.816000 77457 torch/distributed/run.py:852] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 94786.53it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 84733.41it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 88301.14it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 95325.09it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 91678.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 96420.78it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93727.46it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 86480.49it/s]
[Gloo] Rank [Gloo] Rank [Gloo] Rank 546 is connected to  is connected to  is connected to 777 peer ranks.  peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 777


[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 7
1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
logs/medium_runs/token_strided_conv_w8_e32_right_20260503_022103.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 343, 344, 345, 687, 688, 689, 1031, 1032, 1033, 1374, 1375, 1376, 1718, 1719, 1720, 2062, 2063, 2064, 2406, 2407, 2408, 2749, 2750, 2751] for warmup
Resetting Model
step:0/4150 val_loss:10.8342 train_time:0ms step_avg:0.03ms
step:1/4150 train_time:77ms step_avg:77.23ms
step:2/4150 train_time:123ms step_avg:61.73ms
step:3/4150 train_time:185ms step_avg:61.78ms
step:4/4150 train_time:247ms step_avg:61.78ms
step:5/4150 train_time:311ms step_avg:62.21ms
step:6/4150 train_time:372ms step_avg:62.02ms
step:7/4150 train_time:436ms step_avg:62.23ms
step:8/4150 train_time:497ms step_avg:62.09ms
step:9/4150 train_time:560ms step_avg:62.24ms
step:10/4150 train_time:621ms step_avg:62.12ms
step:11/4150 train_time:686ms step_avg:62.32ms
step:12/4150 train_time:748ms step_avg:62.30ms
step:13/4150 train_time:812ms step_avg:62.46ms
step:14/4150 train_time:873ms step_avg:62.36ms
step:15/4150 train_time:937ms step_avg:62.47ms
step:16/4150 train_time:1002ms step_avg:62.64ms
step:17/4150 train_time:1073ms step_avg:63.11ms
step:18/4150 train_time:1136ms step_avg:63.14ms
step:19/4150 train_time:1202ms step_avg:63.29ms
step:20/4150 train_time:1265ms step_avg:63.26ms
step:21/4150 train_time:1331ms step_avg:63.37ms
step:22/4150 train_time:1393ms step_avg:63.31ms
step:23/4150 train_time:1457ms step_avg:63.34ms
step:24/4150 train_time:1518ms step_avg:63.27ms
step:25/4150 train_time:1583ms step_avg:63.32ms
step:26/4150 train_time:1645ms step_avg:63.26ms
step:27/4150 train_time:1709ms step_avg:63.29ms
step:28/4150 train_time:1770ms step_avg:63.22ms
step:29/4150 train_time:1834ms step_avg:63.25ms
step:30/4150 train_time:1897ms step_avg:63.23ms
step:31/4150 train_time:1963ms step_avg:63.32ms
step:32/4150 train_time:2026ms step_avg:63.33ms
step:33/4150 train_time:2093ms step_avg:63.43ms
step:34/4150 train_time:2156ms step_avg:63.42ms
step:35/4150 train_time:2222ms step_avg:63.47ms
step:36/4150 train_time:2285ms step_avg:63.46ms
step:37/4150 train_time:2350ms step_avg:63.51ms
step:38/4150 train_time:2412ms step_avg:63.47ms
step:39/4150 train_time:2477ms step_avg:63.51ms
step:40/4150 train_time:2541ms step_avg:63.52ms
step:41/4150 train_time:2606ms step_avg:63.56ms
step:42/4150 train_time:2668ms step_avg:63.51ms
step:43/4150 train_time:2732ms step_avg:63.54ms
step:44/4150 train_time:2794ms step_avg:63.50ms
step:45/4150 train_time:2858ms step_avg:63.52ms
step:46/4150 train_time:2920ms step_avg:63.48ms
step:47/4150 train_time:2986ms step_avg:63.53ms
step:48/4150 train_time:3049ms step_avg:63.52ms
step:49/4150 train_time:3116ms step_avg:63.60ms
step:50/4150 train_time:3179ms step_avg:63.58ms
step:51/4150 train_time:3245ms step_avg:63.64ms
step:52/4150 train_time:3308ms step_avg:63.62ms
step:53/4150 train_time:3374ms step_avg:63.65ms
step:54/4150 train_time:3436ms step_avg:63.63ms
step:55/4150 train_time:3502ms step_avg:63.66ms
step:56/4150 train_time:3564ms step_avg:63.64ms
step:57/4150 train_time:3629ms step_avg:63.66ms
step:58/4150 train_time:3692ms step_avg:63.65ms
step:59/4150 train_time:3756ms step_avg:63.66ms
step:60/4150 train_time:3817ms step_avg:63.62ms
step:61/4150 train_time:3882ms step_avg:63.64ms
step:62/4150 train_time:3944ms step_avg:63.62ms
step:63/4150 train_time:4009ms step_avg:63.64ms
