[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:  25%|██▌       | 1/4 [00:04<00:13,  4.55s/it]Fetching 4 files: 100%|██████████| 4/4 [00:04<00:00,  1.14s/it]
logs/200f5043-6637-48c2-9060-d4bd782c9605.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8280 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:344ms step_avg:344.15ms
step:2/1480 train_time:687ms step_avg:343.37ms
step:3/1480 train_time:1037ms step_avg:345.78ms
step:4/1480 train_time:1389ms step_avg:347.27ms
step:5/1480 train_time:1734ms step_avg:346.82ms
step:6/1480 train_time:2083ms step_avg:347.09ms
step:7/1480 train_time:2433ms step_avg:347.54ms
step:8/1480 train_time:2780ms step_avg:347.51ms
step:9/1480 train_time:3130ms step_avg:347.82ms
step:10/1480 train_time:3479ms step_avg:347.89ms
step:11/1480 train_time:3832ms step_avg:348.33ms
step:12/1480 train_time:4183ms step_avg:348.62ms
step:13/1480 train_time:4534ms step_avg:348.76ms
step:14/1480 train_time:4883ms step_avg:348.81ms
step:15/1480 train_time:5235ms step_avg:349.03ms
step:16/1480 train_time:5586ms step_avg:349.11ms
step:17/1480 train_time:5937ms step_avg:349.24ms
step:18/1480 train_time:6288ms step_avg:349.33ms
step:19/1480 train_time:6640ms step_avg:349.46ms
step:20/1480 train_time:6996ms step_avg:349.80ms
step:21/1480 train_time:7342ms step_avg:349.63ms
step:22/1480 train_time:7693ms step_avg:349.69ms
step:23/1480 train_time:8047ms step_avg:349.87ms
step:24/1480 train_time:8393ms step_avg:349.73ms
step:25/1480 train_time:8746ms step_avg:349.86ms
step:26/1480 train_time:9096ms step_avg:349.86ms
step:27/1480 train_time:9449ms step_avg:349.98ms
step:28/1480 train_time:9798ms step_avg:349.94ms
step:29/1480 train_time:10151ms step_avg:350.03ms
step:30/1480 train_time:10500ms step_avg:350.00ms
step:31/1480 train_time:10853ms step_avg:350.09ms
step:32/1480 train_time:11202ms step_avg:350.05ms
step:33/1480 train_time:11554ms step_avg:350.12ms
step:34/1480 train_time:11906ms step_avg:350.17ms
step:35/1480 train_time:12257ms step_avg:350.20ms
step:36/1480 train_time:12607ms step_avg:350.19ms
step:37/1480 train_time:12959ms step_avg:350.23ms
step:38/1480 train_time:13309ms step_avg:350.25ms
step:39/1480 train_time:13660ms step_avg:350.25ms
step:40/1480 train_time:14010ms step_avg:350.25ms
step:41/1480 train_time:14362ms step_avg:350.28ms
step:42/1480 train_time:14714ms step_avg:350.34ms
step:43/1480 train_time:15065ms step_avg:350.35ms
step:44/1480 train_time:15414ms step_avg:350.32ms
step:45/1480 train_time:15767ms step_avg:350.37ms
step:46/1480 train_time:16117ms step_avg:350.36ms
step:47/1480 train_time:16470ms step_avg:350.43ms
step:48/1480 train_time:16821ms step_avg:350.44ms
step:49/1480 train_time:17174ms step_avg:350.49ms
step:50/1480 train_time:17525ms step_avg:350.50ms
step:51/1480 train_time:17877ms step_avg:350.53ms
step:52/1480 train_time:18228ms step_avg:350.54ms
step:53/1480 train_time:18582ms step_avg:350.60ms
step:54/1480 train_time:18929ms step_avg:350.54ms
step:55/1480 train_time:19280ms step_avg:350.55ms
