[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 47527.52it/s]
logs/54378d35-1b01-43ae-91da-df608aa30390.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8285 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:332ms step_avg:332.37ms
step:2/1480 train_time:674ms step_avg:337.10ms
step:3/1480 train_time:1025ms step_avg:341.52ms
step:4/1480 train_time:1374ms step_avg:343.48ms
step:5/1480 train_time:1721ms step_avg:344.19ms
step:6/1480 train_time:2069ms step_avg:344.87ms
step:7/1480 train_time:2420ms step_avg:345.78ms
step:8/1480 train_time:2767ms step_avg:345.83ms
step:9/1480 train_time:3118ms step_avg:346.46ms
step:10/1480 train_time:3466ms step_avg:346.63ms
step:11/1480 train_time:3818ms step_avg:347.05ms
step:12/1480 train_time:4167ms step_avg:347.29ms
step:13/1480 train_time:4520ms step_avg:347.70ms
step:14/1480 train_time:4868ms step_avg:347.70ms
step:15/1480 train_time:5222ms step_avg:348.12ms
step:16/1480 train_time:5571ms step_avg:348.18ms
step:17/1480 train_time:5922ms step_avg:348.35ms
step:18/1480 train_time:6270ms step_avg:348.36ms
step:19/1480 train_time:6623ms step_avg:348.56ms
step:20/1480 train_time:6974ms step_avg:348.68ms
step:21/1480 train_time:7324ms step_avg:348.76ms
step:22/1480 train_time:7674ms step_avg:348.82ms
step:23/1480 train_time:8025ms step_avg:348.92ms
step:24/1480 train_time:8376ms step_avg:349.02ms
step:25/1480 train_time:8727ms step_avg:349.09ms
step:26/1480 train_time:9078ms step_avg:349.15ms
step:27/1480 train_time:9430ms step_avg:349.25ms
step:28/1480 train_time:9780ms step_avg:349.28ms
step:29/1480 train_time:10132ms step_avg:349.36ms
step:30/1480 train_time:10482ms step_avg:349.40ms
step:31/1480 train_time:10832ms step_avg:349.43ms
step:32/1480 train_time:11183ms step_avg:349.47ms
step:33/1480 train_time:11535ms step_avg:349.54ms
step:34/1480 train_time:11885ms step_avg:349.56ms
step:35/1480 train_time:12237ms step_avg:349.63ms
step:36/1480 train_time:12587ms step_avg:349.65ms
step:37/1480 train_time:12939ms step_avg:349.71ms
step:38/1480 train_time:13290ms step_avg:349.73ms
step:39/1480 train_time:13643ms step_avg:349.81ms
step:40/1480 train_time:13993ms step_avg:349.82ms
step:41/1480 train_time:14344ms step_avg:349.86ms
step:42/1480 train_time:14694ms step_avg:349.86ms
step:43/1480 train_time:15046ms step_avg:349.90ms
step:44/1480 train_time:15395ms step_avg:349.90ms
step:45/1480 train_time:15746ms step_avg:349.92ms
step:46/1480 train_time:16096ms step_avg:349.90ms
step:47/1480 train_time:16447ms step_avg:349.93ms
step:48/1480 train_time:16797ms step_avg:349.94ms
step:49/1480 train_time:17147ms step_avg:349.95ms
step:50/1480 train_time:17499ms step_avg:349.98ms
step:51/1480 train_time:17851ms step_avg:350.02ms
step:52/1480 train_time:18202ms step_avg:350.05ms
step:53/1480 train_time:18554ms step_avg:350.08ms
step:54/1480 train_time:18904ms step_avg:350.08ms
step:55/1480 train_time:19256ms step_avg:350.11ms
step:56/1480 train_time:19607ms step_avg:350.12ms
step:57/1480 train_time:19958ms step_avg:350.15ms
step:58/1480 train_time:20308ms step_avg:350.14ms
step:59/1480 train_time:20663ms step_avg:350.22ms
step:60/1480 train_time:21011ms step_avg:350.18ms
step:61/1480 train_time:21364ms step_avg:350.23ms
step:62/1480 train_time:21715ms step_avg:350.24ms
step:63/1480 train_time:22066ms step_avg:350.26ms
step:64/1480 train_time:22417ms step_avg:350.27ms
step:65/1480 train_time:22770ms step_avg:350.30ms
step:66/1480 train_time:23120ms step_avg:350.31ms
