W0420 03:54:36.175000 66784 torch/distributed/run.py:852] 
W0420 03:54:36.175000 66784 torch/distributed/run.py:852] *****************************************
W0420 03:54:36.175000 66784 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 03:54:36.175000 66784 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank [Gloo] Rank [Gloo] Rank 1452 is connected to  is connected to  is connected to  is connected to 7777 peer ranks.  peer ranks. [Gloo] Rank  peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 3Expected number of connected peer ranks is : 777 is connected to 7


7
 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 67 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5970.54it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5761.41it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 3827.79it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5579.39it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5221.67it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5726.01it/s]
logs/a0854607-fa46-4bcc-b083-fb61ca7b2d4d.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5928.34it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6080.90it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 385, 386, 387, 388, 771, 772, 773, 774, 1158, 1159, 1160, 1161] for warmup
Resetting Model
step:0/1200 val_loss:10.8293 train_time:0ms step_avg:0.04ms
step:1/1200 train_time:77ms step_avg:76.88ms
step:2/1200 train_time:105ms step_avg:52.45ms
step:3/1200 train_time:127ms step_avg:42.27ms
step:4/1200 train_time:151ms step_avg:37.86ms
step:5/1200 train_time:172ms step_avg:34.33ms
step:6/1200 train_time:205ms step_avg:34.10ms
step:7/1200 train_time:231ms step_avg:33.04ms
step:8/1200 train_time:267ms step_avg:33.32ms
step:9/1200 train_time:293ms step_avg:32.57ms
step:10/1200 train_time:328ms step_avg:32.82ms
step:11/1200 train_time:355ms step_avg:32.30ms
step:12/1200 train_time:390ms step_avg:32.48ms
step:13/1200 train_time:417ms step_avg:32.06ms
step:14/1200 train_time:452ms step_avg:32.27ms
step:15/1200 train_time:479ms step_avg:31.93ms
step:16/1200 train_time:514ms step_avg:32.13ms
step:17/1200 train_time:541ms step_avg:31.81ms
step:18/1200 train_time:576ms step_avg:32.01ms
step:19/1200 train_time:603ms step_avg:31.74ms
step:20/1200 train_time:638ms step_avg:31.91ms
step:21/1200 train_time:665ms step_avg:31.67ms
step:22/1200 train_time:700ms step_avg:31.83ms
step:23/1200 train_time:727ms step_avg:31.62ms
step:24/1200 train_time:763ms step_avg:31.77ms
step:25/1200 train_time:789ms step_avg:31.57ms
step:26/1200 train_time:824ms step_avg:31.70ms
step:27/1200 train_time:851ms step_avg:31.51ms
step:28/1200 train_time:886ms step_avg:31.65ms
step:29/1200 train_time:913ms step_avg:31.47ms
step:30/1200 train_time:948ms step_avg:31.59ms
step:31/1200 train_time:975ms step_avg:31.45ms
step:32/1200 train_time:1010ms step_avg:31.57ms
step:33/1200 train_time:1038ms step_avg:31.46ms
step:34/1200 train_time:1074ms step_avg:31.59ms
step:35/1200 train_time:1102ms step_avg:31.48ms
step:36/1200 train_time:1137ms step_avg:31.60ms
step:37/1200 train_time:1165ms step_avg:31.49ms
step:38/1200 train_time:1201ms step_avg:31.60ms
step:39/1200 train_time:1228ms step_avg:31.48ms
step:40/1200 train_time:1263ms step_avg:31.58ms
step:41/1200 train_time:1290ms step_avg:31.46ms
step:42/1200 train_time:1325ms step_avg:31.55ms
step:43/1200 train_time:1352ms step_avg:31.43ms
step:44/1200 train_time:1387ms step_avg:31.52ms
step:45/1200 train_time:1413ms step_avg:31.41ms
step:46/1200 train_time:1450ms step_avg:31.51ms
step:47/1200 train_time:1476ms step_avg:31.40ms
step:48/1200 train_time:1511ms step_avg:31.48ms
step:49/1200 train_time:1538ms step_avg:31.38ms
step:50/1200 train_time:1573ms step_avg:31.46ms
step:51/1200 train_time:1600ms step_avg:31.37ms
step:52/1200 train_time:1635ms step_avg:31.45ms
step:53/1200 train_time:1663ms step_avg:31.37ms
step:54/1200 train_time:1698ms step_avg:31.44ms
step:55/1200 train_time:1725ms step_avg:31.36ms
step:56/1200 train_time:1760ms step_avg:31.42ms
step:57/1200 train_time:1787ms step_avg:31.35ms
step:58/1200 train_time:1822ms step_avg:31.41ms
step:59/1200 train_time:1849ms step_avg:31.33ms
step:60/1200 train_time:1884ms step_avg:31.40ms
step:61/1200 train_time:1911ms step_avg:31.32ms
step:62/1200 train_time:1945ms step_avg:31.38ms
step:63/1200 train_time:1972ms step_avg:31.31ms
step:64/1200 train_time:2007ms step_avg:31.37ms
step:65/1200 train_time:2034ms step_avg:31.30ms
step:66/1200 train_time:2069ms step_avg:31.35ms
step:67/1200 train_time:2096ms step_avg:31.29ms
step:68/1200 train_time:2131ms step_avg:31.35ms
step:69/1200 train_time:2159ms step_avg:31.29ms
step:70/1200 train_time:2194ms step_avg:31.35ms
step:71/1200 train_time:2222ms step_avg:31.30ms
step:72/1200 train_time:2258ms step_avg:31.35ms
step:73/1200 train_time:2285ms step_avg:31.30ms
step:74/1200 train_time:2320ms step_avg:31.35ms
step:75/1200 train_time:2347ms step_avg:31.29ms
step:76/1200 train_time:2382ms step_avg:31.35ms
step:77/1200 train_time:2409ms step_avg:31.29ms
step:78/1200 train_time:2444ms step_avg:31.33ms
step:79/1200 train_time:2471ms step_avg:31.28ms
step:80/1200 train_time:2506ms step_avg:31.32ms
step:81/1200 train_time:2533ms step_avg:31.27ms
step:82/1200 train_time:2568ms step_avg:31.32ms
step:83/1200 train_time:2595ms step_avg:31.26ms
step:84/1200 train_time:2630ms step_avg:31.31ms
step:85/1200 train_time:2657ms step_avg:31.26ms
step:86/1200 train_time:2692ms step_avg:31.31ms
step:87/1200 train_time:2720ms step_avg:31.26ms
step:88/1200 train_time:2755ms step_avg:31.30ms
step:89/1200 train_time:2782ms step_avg:31.26ms
step:90/1200 train_time:2817ms step_avg:31.30ms
step:91/1200 train_time:2844ms step_avg:31.25ms
step:92/1200 train_time:2879ms step_avg:31.30ms
step:93/1200 train_time:2906ms step_avg:31.25ms
