W0420 03:51:18.817000 63758 torch/distributed/run.py:852] 
W0420 03:51:18.817000 63758 torch/distributed/run.py:852] *****************************************
W0420 03:51:18.817000 63758 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 03:51:18.817000 63758 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 50 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank [Gloo] Rank 47 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5660.33it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6116.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 30012.91it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24105.20it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6340.60it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24929.00it/s]
logs/cbcc716e-4be3-4eb3-86df-13a09638edf3.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6004.73it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5228.18it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 388, 389, 390, 391, 778, 779, 780, 781, 1168, 1169, 1170, 1171] for warmup
Resetting Model
step:0/1210 val_loss:10.8298 train_time:0ms step_avg:0.04ms
step:1/1210 train_time:111ms step_avg:110.86ms
step:2/1210 train_time:141ms step_avg:70.47ms
step:3/1210 train_time:161ms step_avg:53.82ms
step:4/1210 train_time:185ms step_avg:46.34ms
step:5/1210 train_time:205ms step_avg:41.07ms
step:6/1210 train_time:237ms step_avg:39.57ms
step:7/1210 train_time:264ms step_avg:37.66ms
step:8/1210 train_time:299ms step_avg:37.33ms
step:9/1210 train_time:326ms step_avg:36.19ms
step:10/1210 train_time:361ms step_avg:36.14ms
step:11/1210 train_time:388ms step_avg:35.25ms
step:12/1210 train_time:423ms step_avg:35.23ms
step:13/1210 train_time:450ms step_avg:34.61ms
step:14/1210 train_time:486ms step_avg:34.72ms
step:15/1210 train_time:512ms step_avg:34.13ms
step:16/1210 train_time:548ms step_avg:34.23ms
step:17/1210 train_time:574ms step_avg:33.76ms
step:18/1210 train_time:609ms step_avg:33.84ms
step:19/1210 train_time:636ms step_avg:33.48ms
step:20/1210 train_time:672ms step_avg:33.58ms
step:21/1210 train_time:698ms step_avg:33.24ms
step:22/1210 train_time:733ms step_avg:33.34ms
step:23/1210 train_time:761ms step_avg:33.07ms
step:24/1210 train_time:796ms step_avg:33.15ms
step:25/1210 train_time:822ms step_avg:32.89ms
step:26/1210 train_time:857ms step_avg:32.98ms
step:27/1210 train_time:884ms step_avg:32.73ms
step:28/1210 train_time:919ms step_avg:32.82ms
step:29/1210 train_time:946ms step_avg:32.62ms
step:30/1210 train_time:981ms step_avg:32.71ms
step:31/1210 train_time:1008ms step_avg:32.52ms
step:32/1210 train_time:1044ms step_avg:32.62ms
step:33/1210 train_time:1071ms step_avg:32.46ms
step:34/1210 train_time:1107ms step_avg:32.55ms
step:35/1210 train_time:1134ms step_avg:32.41ms
step:36/1210 train_time:1170ms step_avg:32.50ms
step:37/1210 train_time:1197ms step_avg:32.35ms
step:38/1210 train_time:1232ms step_avg:32.42ms
step:39/1210 train_time:1259ms step_avg:32.28ms
step:40/1210 train_time:1294ms step_avg:32.35ms
step:41/1210 train_time:1321ms step_avg:32.22ms
step:42/1210 train_time:1357ms step_avg:32.30ms
step:43/1210 train_time:1383ms step_avg:32.17ms
step:44/1210 train_time:1418ms step_avg:32.23ms
step:45/1210 train_time:1446ms step_avg:32.12ms
step:46/1210 train_time:1481ms step_avg:32.19ms
step:47/1210 train_time:1508ms step_avg:32.08ms
step:48/1210 train_time:1543ms step_avg:32.15ms
step:49/1210 train_time:1571ms step_avg:32.05ms
step:50/1210 train_time:1606ms step_avg:32.11ms
step:51/1210 train_time:1633ms step_avg:32.02ms
step:52/1210 train_time:1668ms step_avg:32.08ms
step:53/1210 train_time:1695ms step_avg:31.99ms
step:54/1210 train_time:1731ms step_avg:32.05ms
step:55/1210 train_time:1759ms step_avg:31.97ms
step:56/1210 train_time:1793ms step_avg:32.01ms
step:57/1210 train_time:1819ms step_avg:31.92ms
