W0420 03:48:00.035000 60730 torch/distributed/run.py:852] 
W0420 03:48:00.035000 60730 torch/distributed/run.py:852] *****************************************
W0420 03:48:00.035000 60730 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 03:48:00.035000 60730 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 1[Gloo] Rank 4 is connected to 2 is connected to 7 is connected to 7 peer ranks. [Gloo] Rank 7 peer ranks. Expected number of connected peer ranks is : 3 peer ranks. Expected number of connected peer ranks is : 7 is connected to Expected number of connected peer ranks is : 7
77
 peer ranks. 
[Gloo] Rank Expected number of connected peer ranks is : 57 is connected to 
7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5646.99it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5607.36it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5422.50it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5664.15it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24105.20it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24244.53it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5710.42it/s]
logs/c8698391-e9df-4467-93a4-be3c1a24b82e.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5609.23it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 394, 785, 786, 787, 788, 1178, 1179, 1180, 1181] for warmup
Resetting Model
step:0/1220 val_loss:10.8275 train_time:0ms step_avg:0.04ms
step:1/1220 train_time:93ms step_avg:92.92ms
step:2/1220 train_time:119ms step_avg:59.56ms
step:3/1220 train_time:141ms step_avg:46.86ms
step:4/1220 train_time:169ms step_avg:42.27ms
step:5/1220 train_time:190ms step_avg:38.01ms
step:6/1220 train_time:224ms step_avg:37.32ms
step:7/1220 train_time:251ms step_avg:35.79ms
step:8/1220 train_time:286ms step_avg:35.69ms
step:9/1220 train_time:312ms step_avg:34.68ms
step:10/1220 train_time:348ms step_avg:34.76ms
step:11/1220 train_time:374ms step_avg:34.01ms
step:12/1220 train_time:409ms step_avg:34.08ms
step:13/1220 train_time:436ms step_avg:33.52ms
step:14/1220 train_time:470ms step_avg:33.61ms
step:15/1220 train_time:497ms step_avg:33.16ms
step:16/1220 train_time:532ms step_avg:33.27ms
step:17/1220 train_time:559ms step_avg:32.90ms
step:18/1220 train_time:594ms step_avg:33.01ms
step:19/1220 train_time:622ms step_avg:32.71ms
step:20/1220 train_time:656ms step_avg:32.81ms
step:21/1220 train_time:683ms step_avg:32.52ms
step:22/1220 train_time:718ms step_avg:32.64ms
step:23/1220 train_time:746ms step_avg:32.42ms
step:24/1220 train_time:780ms step_avg:32.52ms
step:25/1220 train_time:807ms step_avg:32.29ms
step:26/1220 train_time:843ms step_avg:32.42ms
step:27/1220 train_time:870ms step_avg:32.21ms
step:28/1220 train_time:905ms step_avg:32.32ms
step:29/1220 train_time:932ms step_avg:32.13ms
step:30/1220 train_time:967ms step_avg:32.23ms
step:31/1220 train_time:994ms step_avg:32.06ms
step:32/1220 train_time:1029ms step_avg:32.16ms
step:33/1220 train_time:1057ms step_avg:32.02ms
step:34/1220 train_time:1093ms step_avg:32.13ms
step:35/1220 train_time:1121ms step_avg:32.02ms
step:36/1220 train_time:1157ms step_avg:32.13ms
step:37/1220 train_time:1184ms step_avg:32.01ms
step:38/1220 train_time:1220ms step_avg:32.11ms
step:39/1220 train_time:1248ms step_avg:32.00ms
step:40/1220 train_time:1283ms step_avg:32.08ms
step:41/1220 train_time:1310ms step_avg:31.96ms
step:42/1220 train_time:1345ms step_avg:32.03ms
step:43/1220 train_time:1372ms step_avg:31.91ms
step:44/1220 train_time:1407ms step_avg:31.98ms
step:45/1220 train_time:1434ms step_avg:31.87ms
step:46/1220 train_time:1469ms step_avg:31.93ms
step:47/1220 train_time:1496ms step_avg:31.83ms
step:48/1220 train_time:1531ms step_avg:31.90ms
step:49/1220 train_time:1558ms step_avg:31.80ms
step:50/1220 train_time:1593ms step_avg:31.86ms
step:51/1220 train_time:1620ms step_avg:31.76ms
step:52/1220 train_time:1655ms step_avg:31.83ms
step:53/1220 train_time:1682ms step_avg:31.74ms
step:54/1220 train_time:1717ms step_avg:31.80ms
step:55/1220 train_time:1744ms step_avg:31.71ms
step:56/1220 train_time:1779ms step_avg:31.77ms
step:57/1220 train_time:1806ms step_avg:31.69ms
step:58/1220 train_time:1841ms step_avg:31.75ms
