W0420 03:44:40.912000 57692 torch/distributed/run.py:852] 
W0420 03:44:40.912000 57692 torch/distributed/run.py:852] *****************************************
W0420 03:44:40.912000 57692 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 03:44:40.912000 57692 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 24 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank [Gloo] Rank 53 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5353.29it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24708.71it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 18517.90it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6050.20it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5635.61it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24855.13it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5594.27it/s]
logs/e567cc45-d226-473a-8915-dd882d9ab1d6.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6032.80it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 395, 396, 397, 398, 791, 792, 793, 794, 1188, 1189, 1190, 1191] for warmup
Resetting Model
step:0/1230 val_loss:10.8303 train_time:0ms step_avg:0.04ms
step:1/1230 train_time:74ms step_avg:74.41ms
step:2/1230 train_time:109ms step_avg:54.52ms
step:3/1230 train_time:131ms step_avg:43.56ms
step:4/1230 train_time:167ms step_avg:41.66ms
step:5/1230 train_time:187ms step_avg:37.45ms
step:6/1230 train_time:221ms step_avg:36.78ms
step:7/1230 train_time:248ms step_avg:35.38ms
step:8/1230 train_time:283ms step_avg:35.40ms
step:9/1230 train_time:309ms step_avg:34.35ms
step:10/1230 train_time:345ms step_avg:34.46ms
step:11/1230 train_time:371ms step_avg:33.74ms
step:12/1230 train_time:406ms step_avg:33.86ms
step:13/1230 train_time:433ms step_avg:33.30ms
step:14/1230 train_time:468ms step_avg:33.46ms
step:15/1230 train_time:495ms step_avg:33.02ms
step:16/1230 train_time:531ms step_avg:33.18ms
step:17/1230 train_time:557ms step_avg:32.79ms
step:18/1230 train_time:593ms step_avg:32.93ms
step:19/1230 train_time:620ms step_avg:32.61ms
step:20/1230 train_time:654ms step_avg:32.72ms
step:21/1230 train_time:682ms step_avg:32.48ms
step:22/1230 train_time:717ms step_avg:32.57ms
step:23/1230 train_time:744ms step_avg:32.33ms
step:24/1230 train_time:779ms step_avg:32.45ms
step:25/1230 train_time:806ms step_avg:32.22ms
step:26/1230 train_time:840ms step_avg:32.33ms
step:27/1230 train_time:867ms step_avg:32.12ms
step:28/1230 train_time:903ms step_avg:32.23ms
step:29/1230 train_time:929ms step_avg:32.05ms
step:30/1230 train_time:965ms step_avg:32.16ms
step:31/1230 train_time:992ms step_avg:32.00ms
step:32/1230 train_time:1028ms step_avg:32.14ms
step:33/1230 train_time:1055ms step_avg:31.96ms
step:34/1230 train_time:1090ms step_avg:32.07ms
step:35/1230 train_time:1117ms step_avg:31.93ms
step:36/1230 train_time:1153ms step_avg:32.02ms
step:37/1230 train_time:1180ms step_avg:31.89ms
step:38/1230 train_time:1215ms step_avg:31.98ms
step:39/1230 train_time:1242ms step_avg:31.85ms
step:40/1230 train_time:1277ms step_avg:31.94ms
step:41/1230 train_time:1305ms step_avg:31.82ms
step:42/1230 train_time:1340ms step_avg:31.89ms
step:43/1230 train_time:1367ms step_avg:31.78ms
step:44/1230 train_time:1402ms step_avg:31.86ms
step:45/1230 train_time:1429ms step_avg:31.75ms
step:46/1230 train_time:1464ms step_avg:31.83ms
step:47/1230 train_time:1491ms step_avg:31.72ms
step:48/1230 train_time:1526ms step_avg:31.79ms
step:49/1230 train_time:1553ms step_avg:31.69ms
step:50/1230 train_time:1588ms step_avg:31.77ms
step:51/1230 train_time:1615ms step_avg:31.67ms
step:52/1230 train_time:1650ms step_avg:31.73ms
step:53/1230 train_time:1678ms step_avg:31.65ms
step:54/1230 train_time:1713ms step_avg:31.72ms
step:55/1230 train_time:1740ms step_avg:31.63ms
