W0420 03:41:21.670000 54665 torch/distributed/run.py:852] 
W0420 03:41:21.670000 54665 torch/distributed/run.py:852] *****************************************
W0420 03:41:21.670000 54665 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 03:41:21.670000 54665 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 
0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 77
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6[Gloo] Rank  is connected to 57 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5596.14it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5635.61it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5666.06it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5208.70it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5497.12it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5509.76it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 22429.43it/s]
logs/16a1c66a-6372-486e-ba39-91d604f820a9.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 3668.75it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 398, 399, 400, 401, 798, 799, 800, 801, 1198, 1199, 1200, 1201] for warmup
Resetting Model
step:0/1240 val_loss:10.8292 train_time:0ms step_avg:0.04ms
step:1/1240 train_time:69ms step_avg:68.56ms
step:2/1240 train_time:104ms step_avg:51.80ms
step:3/1240 train_time:126ms step_avg:41.93ms
step:4/1240 train_time:163ms step_avg:40.66ms
step:5/1240 train_time:184ms step_avg:36.78ms
step:6/1240 train_time:219ms step_avg:36.45ms
step:7/1240 train_time:245ms step_avg:35.00ms
step:8/1240 train_time:279ms step_avg:34.88ms
step:9/1240 train_time:305ms step_avg:33.94ms
step:10/1240 train_time:341ms step_avg:34.06ms
step:11/1240 train_time:368ms step_avg:33.43ms
step:12/1240 train_time:403ms step_avg:33.55ms
step:13/1240 train_time:430ms step_avg:33.07ms
step:14/1240 train_time:465ms step_avg:33.19ms
step:15/1240 train_time:492ms step_avg:32.78ms
step:16/1240 train_time:528ms step_avg:33.01ms
step:17/1240 train_time:555ms step_avg:32.64ms
step:18/1240 train_time:590ms step_avg:32.78ms
step:19/1240 train_time:617ms step_avg:32.45ms
step:20/1240 train_time:652ms step_avg:32.59ms
step:21/1240 train_time:679ms step_avg:32.32ms
step:22/1240 train_time:714ms step_avg:32.44ms
step:23/1240 train_time:741ms step_avg:32.20ms
step:24/1240 train_time:776ms step_avg:32.32ms
step:25/1240 train_time:802ms step_avg:32.10ms
step:26/1240 train_time:838ms step_avg:32.22ms
step:27/1240 train_time:863ms step_avg:31.97ms
step:28/1240 train_time:898ms step_avg:32.07ms
step:29/1240 train_time:926ms step_avg:31.93ms
step:30/1240 train_time:962ms step_avg:32.07ms
step:31/1240 train_time:989ms step_avg:31.89ms
step:32/1240 train_time:1024ms step_avg:32.00ms
step:33/1240 train_time:1054ms step_avg:31.93ms
step:34/1240 train_time:1090ms step_avg:32.06ms
step:35/1240 train_time:1117ms step_avg:31.92ms
step:36/1240 train_time:1153ms step_avg:32.02ms
step:37/1240 train_time:1180ms step_avg:31.89ms
step:38/1240 train_time:1216ms step_avg:31.99ms
step:39/1240 train_time:1242ms step_avg:31.85ms
step:40/1240 train_time:1278ms step_avg:31.94ms
step:41/1240 train_time:1304ms step_avg:31.81ms
step:42/1240 train_time:1340ms step_avg:31.90ms
step:43/1240 train_time:1366ms step_avg:31.78ms
step:44/1240 train_time:1402ms step_avg:31.85ms
step:45/1240 train_time:1430ms step_avg:31.78ms
step:46/1240 train_time:1466ms step_avg:31.86ms
step:47/1240 train_time:1492ms step_avg:31.74ms
step:48/1240 train_time:1527ms step_avg:31.80ms
step:49/1240 train_time:1554ms step_avg:31.71ms
step:50/1240 train_time:1589ms step_avg:31.78ms
step:51/1240 train_time:1616ms step_avg:31.68ms
step:52/1240 train_time:1651ms step_avg:31.75ms
step:53/1240 train_time:1678ms step_avg:31.66ms
step:54/1240 train_time:1713ms step_avg:31.73ms
step:55/1240 train_time:1739ms step_avg:31.62ms
step:56/1240 train_time:1774ms step_avg:31.68ms
step:57/1240 train_time:1802ms step_avg:31.62ms
step:58/1240 train_time:1838ms step_avg:31.69ms
step:59/1240 train_time:1865ms step_avg:31.60ms
step:60/1240 train_time:1900ms step_avg:31.66ms
step:61/1240 train_time:1927ms step_avg:31.58ms
step:62/1240 train_time:1962ms step_avg:31.64ms
step:63/1240 train_time:1990ms step_avg:31.58ms
step:64/1240 train_time:2024ms step_avg:31.63ms
step:65/1240 train_time:2052ms step_avg:31.57ms
