W0420 03:37:53.861000 51626 torch/distributed/run.py:852] 
W0420 03:37:53.861000 51626 torch/distributed/run.py:852] *****************************************
W0420 03:37:53.861000 51626 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 03:37:53.861000 51626 torch/distributed/run.py:852] *****************************************
[Gloo] Rank [Gloo] Rank 63 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 42 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24528.09it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5687.19it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5562.74it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24174.66it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24209.55it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5417.25it/s]
logs/24240f7e-dd33-484f-83a1-8aa9f1ab4698.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24456.58it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5265.92it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 401, 402, 403, 404, 805, 806, 807, 808, 1208, 1209, 1210, 1211] for warmup
Resetting Model
step:0/1250 val_loss:10.8315 train_time:0ms step_avg:0.04ms
step:1/1250 train_time:88ms step_avg:88.28ms
step:2/1250 train_time:124ms step_avg:62.15ms
step:3/1250 train_time:147ms step_avg:49.11ms
step:4/1250 train_time:181ms step_avg:45.18ms
step:5/1250 train_time:201ms step_avg:40.28ms
step:6/1250 train_time:236ms step_avg:39.28ms
step:7/1250 train_time:262ms step_avg:37.40ms
step:8/1250 train_time:297ms step_avg:37.13ms
step:9/1250 train_time:324ms step_avg:35.98ms
step:10/1250 train_time:359ms step_avg:35.91ms
step:11/1250 train_time:385ms step_avg:35.01ms
step:12/1250 train_time:421ms step_avg:35.05ms
step:13/1250 train_time:447ms step_avg:34.40ms
step:14/1250 train_time:483ms step_avg:34.48ms
step:15/1250 train_time:509ms step_avg:33.95ms
step:16/1250 train_time:545ms step_avg:34.03ms
step:17/1250 train_time:572ms step_avg:33.62ms
step:18/1250 train_time:606ms step_avg:33.69ms
step:19/1250 train_time:633ms step_avg:33.33ms
step:20/1250 train_time:668ms step_avg:33.42ms
step:21/1250 train_time:695ms step_avg:33.11ms
step:22/1250 train_time:730ms step_avg:33.20ms
step:23/1250 train_time:757ms step_avg:32.92ms
step:24/1250 train_time:792ms step_avg:33.01ms
step:25/1250 train_time:819ms step_avg:32.77ms
step:26/1250 train_time:855ms step_avg:32.87ms
step:27/1250 train_time:882ms step_avg:32.66ms
step:28/1250 train_time:917ms step_avg:32.74ms
step:29/1250 train_time:944ms step_avg:32.55ms
step:30/1250 train_time:979ms step_avg:32.63ms
step:31/1250 train_time:1005ms step_avg:32.43ms
step:32/1250 train_time:1042ms step_avg:32.55ms
step:33/1250 train_time:1069ms step_avg:32.40ms
step:34/1250 train_time:1105ms step_avg:32.50ms
step:35/1250 train_time:1133ms step_avg:32.36ms
step:36/1250 train_time:1168ms step_avg:32.44ms
step:37/1250 train_time:1195ms step_avg:32.29ms
step:38/1250 train_time:1231ms step_avg:32.38ms
step:39/1250 train_time:1258ms step_avg:32.25ms
step:40/1250 train_time:1293ms step_avg:32.33ms
step:41/1250 train_time:1320ms step_avg:32.19ms
step:42/1250 train_time:1356ms step_avg:32.28ms
step:43/1250 train_time:1383ms step_avg:32.15ms
step:44/1250 train_time:1418ms step_avg:32.23ms
step:45/1250 train_time:1445ms step_avg:32.11ms
step:46/1250 train_time:1480ms step_avg:32.18ms
step:47/1250 train_time:1507ms step_avg:32.06ms
step:48/1250 train_time:1542ms step_avg:32.13ms
step:49/1250 train_time:1569ms step_avg:32.01ms
step:50/1250 train_time:1604ms step_avg:32.09ms
step:51/1250 train_time:1631ms step_avg:31.98ms
step:52/1250 train_time:1666ms step_avg:32.04ms
step:53/1250 train_time:1693ms step_avg:31.94ms
step:54/1250 train_time:1728ms step_avg:32.00ms
step:55/1250 train_time:1755ms step_avg:31.91ms
