W0420 03:34:25.807000 48585 torch/distributed/run.py:852] 
W0420 03:34:25.807000 48585 torch/distributed/run.py:852] *****************************************
W0420 03:34:25.807000 48585 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 03:34:25.807000 48585 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 74
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 3226.39it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 19508.39it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5658.42it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5601.74it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5726.01it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5729.92it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5938.84it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24244.53it/s]
logs/8d9f5826-03c9-4b34-8d74-1841946ca283.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 405, 406, 407, 408, 811, 812, 813, 814, 1218, 1219, 1220, 1221] for warmup
Resetting Model
step:0/1260 val_loss:10.8286 train_time:0ms step_avg:0.04ms
step:1/1260 train_time:80ms step_avg:79.87ms
step:2/1260 train_time:109ms step_avg:54.40ms
step:3/1260 train_time:130ms step_avg:43.39ms
step:4/1260 train_time:155ms step_avg:38.64ms
step:5/1260 train_time:176ms step_avg:35.29ms
step:6/1260 train_time:212ms step_avg:35.29ms
step:7/1260 train_time:238ms step_avg:34.04ms
step:8/1260 train_time:273ms step_avg:34.16ms
step:9/1260 train_time:300ms step_avg:33.33ms
step:10/1260 train_time:335ms step_avg:33.54ms
step:11/1260 train_time:362ms step_avg:32.87ms
step:12/1260 train_time:397ms step_avg:33.04ms
step:13/1260 train_time:423ms step_avg:32.57ms
step:14/1260 train_time:458ms step_avg:32.74ms
step:15/1260 train_time:485ms step_avg:32.33ms
step:16/1260 train_time:520ms step_avg:32.50ms
step:17/1260 train_time:547ms step_avg:32.18ms
step:18/1260 train_time:582ms step_avg:32.33ms
step:19/1260 train_time:609ms step_avg:32.07ms
step:20/1260 train_time:645ms step_avg:32.23ms
step:21/1260 train_time:671ms step_avg:31.97ms
step:22/1260 train_time:707ms step_avg:32.12ms
step:23/1260 train_time:734ms step_avg:31.90ms
step:24/1260 train_time:769ms step_avg:32.04ms
step:25/1260 train_time:796ms step_avg:31.83ms
step:26/1260 train_time:831ms step_avg:31.96ms
step:27/1260 train_time:858ms step_avg:31.78ms
step:28/1260 train_time:893ms step_avg:31.89ms
step:29/1260 train_time:920ms step_avg:31.72ms
step:30/1260 train_time:955ms step_avg:31.84ms
step:31/1260 train_time:982ms step_avg:31.69ms
step:32/1260 train_time:1018ms step_avg:31.81ms
step:33/1260 train_time:1046ms step_avg:31.68ms
step:34/1260 train_time:1081ms step_avg:31.79ms
step:35/1260 train_time:1108ms step_avg:31.66ms
step:36/1260 train_time:1144ms step_avg:31.78ms
step:37/1260 train_time:1171ms step_avg:31.64ms
step:38/1260 train_time:1206ms step_avg:31.73ms
step:39/1260 train_time:1233ms step_avg:31.62ms
step:40/1260 train_time:1269ms step_avg:31.72ms
step:41/1260 train_time:1296ms step_avg:31.60ms
step:42/1260 train_time:1331ms step_avg:31.69ms
step:43/1260 train_time:1358ms step_avg:31.59ms
step:44/1260 train_time:1394ms step_avg:31.67ms
step:45/1260 train_time:1421ms step_avg:31.57ms
step:46/1260 train_time:1456ms step_avg:31.65ms
step:47/1260 train_time:1482ms step_avg:31.54ms
step:48/1260 train_time:1518ms step_avg:31.62ms
step:49/1260 train_time:1545ms step_avg:31.52ms
step:50/1260 train_time:1580ms step_avg:31.59ms
step:51/1260 train_time:1606ms step_avg:31.50ms
step:52/1260 train_time:1641ms step_avg:31.56ms
step:53/1260 train_time:1669ms step_avg:31.48ms
step:54/1260 train_time:1703ms step_avg:31.54ms
step:55/1260 train_time:1731ms step_avg:31.47ms
step:56/1260 train_time:1766ms step_avg:31.53ms
step:57/1260 train_time:1793ms step_avg:31.45ms
step:58/1260 train_time:1828ms step_avg:31.52ms
step:59/1260 train_time:1855ms step_avg:31.45ms
step:60/1260 train_time:1891ms step_avg:31.51ms
step:61/1260 train_time:1918ms step_avg:31.43ms
step:62/1260 train_time:1953ms step_avg:31.50ms
step:63/1260 train_time:1980ms step_avg:31.42ms
step:64/1260 train_time:2017ms step_avg:31.52ms
step:65/1260 train_time:2042ms step_avg:31.42ms
step:66/1260 train_time:2077ms step_avg:31.48ms
step:67/1260 train_time:2104ms step_avg:31.41ms
step:68/1260 train_time:2139ms step_avg:31.46ms
step:69/1260 train_time:2167ms step_avg:31.40ms
step:70/1260 train_time:2202ms step_avg:31.45ms
step:71/1260 train_time:2229ms step_avg:31.40ms
step:72/1260 train_time:2264ms step_avg:31.45ms
step:73/1260 train_time:2292ms step_avg:31.40ms
step:74/1260 train_time:2327ms step_avg:31.44ms
step:75/1260 train_time:2355ms step_avg:31.40ms
step:76/1260 train_time:2390ms step_avg:31.45ms
step:77/1260 train_time:2417ms step_avg:31.39ms
step:78/1260 train_time:2453ms step_avg:31.45ms
step:79/1260 train_time:2480ms step_avg:31.39ms
step:80/1260 train_time:2514ms step_avg:31.43ms
step:81/1260 train_time:2542ms step_avg:31.38ms
step:82/1260 train_time:2577ms step_avg:31.42ms
step:83/1260 train_time:2603ms step_avg:31.37ms
step:84/1260 train_time:2638ms step_avg:31.41ms
step:85/1260 train_time:2665ms step_avg:31.35ms
step:86/1260 train_time:2700ms step_avg:31.39ms
step:87/1260 train_time:2727ms step_avg:31.34ms
step:88/1260 train_time:2762ms step_avg:31.38ms
step:89/1260 train_time:2789ms step_avg:31.33ms
step:90/1260 train_time:2824ms step_avg:31.37ms
step:91/1260 train_time:2851ms step_avg:31.33ms
step:92/1260 train_time:2886ms step_avg:31.37ms
step:93/1260 train_time:2914ms step_avg:31.33ms
step:94/1260 train_time:2949ms step_avg:31.37ms
step:95/1260 train_time:2976ms step_avg:31.33ms
step:96/1260 train_time:3011ms step_avg:31.37ms
step:97/1260 train_time:3038ms step_avg:31.32ms
step:98/1260 train_time:3074ms step_avg:31.37ms
step:99/1260 train_time:3101ms step_avg:31.32ms
step:100/1260 train_time:3136ms step_avg:31.36ms
step:101/1260 train_time:3163ms step_avg:31.32ms
step:102/1260 train_time:3198ms step_avg:31.35ms
step:103/1260 train_time:3225ms step_avg:31.31ms
step:104/1260 train_time:3260ms step_avg:31.35ms
step:105/1260 train_time:3287ms step_avg:31.30ms
step:106/1260 train_time:3322ms step_avg:31.34ms
step:107/1260 train_time:3349ms step_avg:31.30ms
step:108/1260 train_time:3384ms step_avg:31.33ms
step:109/1260 train_time:3412ms step_avg:31.30ms
step:110/1260 train_time:3447ms step_avg:31.34ms
step:111/1260 train_time:3475ms step_avg:31.30ms
step:112/1260 train_time:3510ms step_avg:31.33ms
step:113/1260 train_time:3537ms step_avg:31.30ms
step:114/1260 train_time:3572ms step_avg:31.33ms
step:115/1260 train_time:3599ms step_avg:31.29ms
step:116/1260 train_time:3633ms step_avg:31.32ms
step:117/1260 train_time:3659ms step_avg:31.28ms
step:118/1260 train_time:3695ms step_avg:31.32ms
step:119/1260 train_time:3722ms step_avg:31.28ms
step:120/1260 train_time:3758ms step_avg:31.31ms
step:121/1260 train_time:3784ms step_avg:31.27ms
step:122/1260 train_time:3819ms step_avg:31.30ms
step:123/1260 train_time:3846ms step_avg:31.26ms
step:124/1260 train_time:3881ms step_avg:31.30ms
step:125/1260 train_time:3908ms step_avg:31.26ms
step:126/1260 train_time:3942ms step_avg:31.29ms
step:127/1260 train_time:3970ms step_avg:31.26ms
step:128/1260 train_time:4005ms step_avg:31.29ms
step:129/1260 train_time:4032ms step_avg:31.26ms
step:130/1260 train_time:4067ms step_avg:31.28ms
step:131/1260 train_time:4094ms step_avg:31.25ms
step:132/1260 train_time:4129ms step_avg:31.28ms
step:133/1260 train_time:4156ms step_avg:31.25ms
step:134/1260 train_time:4191ms step_avg:31.27ms
step:135/1260 train_time:4218ms step_avg:31.24ms
step:136/1260 train_time:4253ms step_avg:31.27ms
step:137/1260 train_time:4280ms step_avg:31.24ms
step:138/1260 train_time:4316ms step_avg:31.28ms
step:139/1260 train_time:4342ms step_avg:31.24ms
step:140/1260 train_time:4378ms step_avg:31.27ms
step:141/1260 train_time:4404ms step_avg:31.24ms
step:142/1260 train_time:4440ms step_avg:31.27ms
step:143/1260 train_time:4467ms step_avg:31.24ms
step:144/1260 train_time:4502ms step_avg:31.26ms
step:145/1260 train_time:4529ms step_avg:31.23ms
step:146/1260 train_time:4564ms step_avg:31.26ms
step:147/1260 train_time:4591ms step_avg:31.23ms
step:148/1260 train_time:4626ms step_avg:31.26ms
step:149/1260 train_time:4653ms step_avg:31.23ms
step:150/1260 train_time:4689ms step_avg:31.26ms
step:151/1260 train_time:4716ms step_avg:31.23ms
step:152/1260 train_time:4751ms step_avg:31.25ms
step:153/1260 train_time:4778ms step_avg:31.23ms
step:154/1260 train_time:4813ms step_avg:31.25ms
step:155/1260 train_time:4839ms step_avg:31.22ms
step:156/1260 train_time:4875ms step_avg:31.25ms
step:157/1260 train_time:4902ms step_avg:31.22ms
step:158/1260 train_time:4936ms step_avg:31.24ms
step:159/1260 train_time:4963ms step_avg:31.21ms
step:160/1260 train_time:4998ms step_avg:31.24ms
step:161/1260 train_time:5025ms step_avg:31.21ms
step:162/1260 train_time:5060ms step_avg:31.23ms
step:163/1260 train_time:5087ms step_avg:31.21ms
step:164/1260 train_time:5121ms step_avg:31.23ms
step:165/1260 train_time:5148ms step_avg:31.20ms
step:166/1260 train_time:5184ms step_avg:31.23ms
step:167/1260 train_time:5210ms step_avg:31.20ms
step:168/1260 train_time:5245ms step_avg:31.22ms
step:169/1260 train_time:5273ms step_avg:31.20ms
step:170/1260 train_time:5308ms step_avg:31.22ms
step:171/1260 train_time:5335ms step_avg:31.20ms
step:172/1260 train_time:5370ms step_avg:31.22ms
step:173/1260 train_time:5397ms step_avg:31.19ms
step:174/1260 train_time:5432ms step_avg:31.22ms
step:175/1260 train_time:5459ms step_avg:31.19ms
step:176/1260 train_time:5494ms step_avg:31.21ms
step:177/1260 train_time:5521ms step_avg:31.19ms
step:178/1260 train_time:5557ms step_avg:31.22ms
step:179/1260 train_time:5583ms step_avg:31.19ms
step:180/1260 train_time:5618ms step_avg:31.21ms
step:181/1260 train_time:5644ms step_avg:31.18ms
step:182/1260 train_time:5679ms step_avg:31.21ms
step:183/1260 train_time:5706ms step_avg:31.18ms
step:184/1260 train_time:5741ms step_avg:31.20ms
step:185/1260 train_time:5768ms step_avg:31.18ms
step:186/1260 train_time:5803ms step_avg:31.20ms
step:187/1260 train_time:5830ms step_avg:31.18ms
step:188/1260 train_time:5865ms step_avg:31.20ms
step:189/1260 train_time:5893ms step_avg:31.18ms
step:190/1260 train_time:5928ms step_avg:31.20ms
step:191/1260 train_time:5955ms step_avg:31.18ms
step:192/1260 train_time:5990ms step_avg:31.20ms
step:193/1260 train_time:6017ms step_avg:31.18ms
step:194/1260 train_time:6052ms step_avg:31.20ms
step:195/1260 train_time:6079ms step_avg:31.18ms
step:196/1260 train_time:6114ms step_avg:31.20ms
step:197/1260 train_time:6141ms step_avg:31.17ms
step:198/1260 train_time:6177ms step_avg:31.20ms
step:199/1260 train_time:6203ms step_avg:31.17ms
step:200/1260 train_time:6238ms step_avg:31.19ms
step:201/1260 train_time:6265ms step_avg:31.17ms
step:202/1260 train_time:6300ms step_avg:31.19ms
step:203/1260 train_time:6327ms step_avg:31.17ms
step:204/1260 train_time:6362ms step_avg:31.19ms
step:205/1260 train_time:6389ms step_avg:31.17ms
step:206/1260 train_time:6424ms step_avg:31.18ms
step:207/1260 train_time:6451ms step_avg:31.16ms
step:208/1260 train_time:6486ms step_avg:31.18ms
step:209/1260 train_time:6513ms step_avg:31.16ms
