W0420 03:31:04.191000 45450 torch/distributed/run.py:852] 
W0420 03:31:04.191000 45450 torch/distributed/run.py:852] *****************************************
W0420 03:31:04.191000 45450 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 03:31:04.191000 45450 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 4 is connected to 7[Gloo] Rank  peer ranks. Expected number of connected peer ranks is : 57 is connected to 
7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3[Gloo] Rank  is connected to 17 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 76 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24350.10it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5605.48it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5807.27it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5698.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 3217.11it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5761.41it/s]
logs/ba7ac211-212b-4fed-a2da-05f31d44d593.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24209.55it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5677.57it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 408, 409, 410, 411, 818, 819, 820, 821, 1228, 1229, 1230, 1231] for warmup
Resetting Model
step:0/1270 val_loss:10.8284 train_time:0ms step_avg:0.04ms
step:1/1270 train_time:85ms step_avg:84.75ms
step:2/1270 train_time:112ms step_avg:56.04ms
step:3/1270 train_time:134ms step_avg:44.79ms
step:4/1270 train_time:160ms step_avg:39.97ms
step:5/1270 train_time:181ms step_avg:36.22ms
step:6/1270 train_time:213ms step_avg:35.43ms
step:7/1270 train_time:239ms step_avg:34.16ms
step:8/1270 train_time:275ms step_avg:34.39ms
step:9/1270 train_time:301ms step_avg:33.44ms
step:10/1270 train_time:336ms step_avg:33.60ms
step:11/1270 train_time:363ms step_avg:33.01ms
step:12/1270 train_time:398ms step_avg:33.16ms
step:13/1270 train_time:425ms step_avg:32.66ms
step:14/1270 train_time:460ms step_avg:32.84ms
step:15/1270 train_time:487ms step_avg:32.44ms
step:16/1270 train_time:521ms step_avg:32.58ms
step:17/1270 train_time:548ms step_avg:32.23ms
step:18/1270 train_time:583ms step_avg:32.40ms
step:19/1270 train_time:610ms step_avg:32.09ms
step:20/1270 train_time:645ms step_avg:32.24ms
step:21/1270 train_time:672ms step_avg:31.99ms
step:22/1270 train_time:707ms step_avg:32.14ms
step:23/1270 train_time:734ms step_avg:31.90ms
step:24/1270 train_time:770ms step_avg:32.08ms
step:25/1270 train_time:796ms step_avg:31.84ms
step:26/1270 train_time:831ms step_avg:31.95ms
step:27/1270 train_time:857ms step_avg:31.75ms
step:28/1270 train_time:893ms step_avg:31.89ms
step:29/1270 train_time:919ms step_avg:31.71ms
step:30/1270 train_time:955ms step_avg:31.83ms
step:31/1270 train_time:981ms step_avg:31.66ms
step:32/1270 train_time:1017ms step_avg:31.80ms
step:33/1270 train_time:1045ms step_avg:31.66ms
step:34/1270 train_time:1081ms step_avg:31.78ms
step:35/1270 train_time:1107ms step_avg:31.63ms
step:36/1270 train_time:1142ms step_avg:31.73ms
step:37/1270 train_time:1170ms step_avg:31.61ms
step:38/1270 train_time:1205ms step_avg:31.71ms
step:39/1270 train_time:1232ms step_avg:31.60ms
step:40/1270 train_time:1268ms step_avg:31.70ms
step:41/1270 train_time:1295ms step_avg:31.58ms
step:42/1270 train_time:1330ms step_avg:31.67ms
step:43/1270 train_time:1357ms step_avg:31.56ms
step:44/1270 train_time:1392ms step_avg:31.64ms
step:45/1270 train_time:1419ms step_avg:31.54ms
step:46/1270 train_time:1454ms step_avg:31.62ms
step:47/1270 train_time:1481ms step_avg:31.51ms
step:48/1270 train_time:1516ms step_avg:31.59ms
step:49/1270 train_time:1543ms step_avg:31.49ms
step:50/1270 train_time:1578ms step_avg:31.56ms
step:51/1270 train_time:1605ms step_avg:31.47ms
step:52/1270 train_time:1640ms step_avg:31.53ms
step:53/1270 train_time:1666ms step_avg:31.44ms
step:54/1270 train_time:1701ms step_avg:31.51ms
step:55/1270 train_time:1728ms step_avg:31.42ms
step:56/1270 train_time:1763ms step_avg:31.48ms
step:57/1270 train_time:1791ms step_avg:31.41ms
