W0420 03:27:39.356000 41898 torch/distributed/run.py:852] 
W0420 03:27:39.356000 41898 torch/distributed/run.py:852] *****************************************
W0420 03:27:39.356000 41898 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 03:27:39.356000 41898 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7[Gloo] Rank  peer ranks. 2Expected number of connected peer ranks is :  is connected to 77 peer ranks. 
Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank [Gloo] Rank 576 is connected to  is connected to  is connected to 777 peer ranks.  peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 777


Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 29852.70it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24209.55it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 30066.70it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 27548.79it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 30559.59it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 26173.50it/s]
logs/94645235-3ad0-4432-8c9c-c4f353c893d8.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 28339.89it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 24564.01it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 411, 412, 413, 414, 825, 826, 827, 828, 1238, 1239, 1240, 1241] for warmup
Resetting Model
step:0/1280 val_loss:10.8309 train_time:0ms step_avg:0.04ms
step:1/1280 train_time:77ms step_avg:77.00ms
step:2/1280 train_time:104ms step_avg:52.11ms
step:3/1280 train_time:126ms step_avg:42.15ms
step:4/1280 train_time:156ms step_avg:39.00ms
step:5/1280 train_time:178ms step_avg:35.50ms
step:6/1280 train_time:210ms step_avg:35.06ms
step:7/1280 train_time:237ms step_avg:33.80ms
step:8/1280 train_time:272ms step_avg:33.98ms
step:9/1280 train_time:299ms step_avg:33.19ms
step:10/1280 train_time:334ms step_avg:33.37ms
step:11/1280 train_time:361ms step_avg:32.79ms
step:12/1280 train_time:396ms step_avg:33.01ms
step:13/1280 train_time:423ms step_avg:32.52ms
step:14/1280 train_time:458ms step_avg:32.72ms
step:15/1280 train_time:485ms step_avg:32.33ms
step:16/1280 train_time:521ms step_avg:32.55ms
step:17/1280 train_time:547ms step_avg:32.19ms
step:18/1280 train_time:583ms step_avg:32.40ms
step:19/1280 train_time:609ms step_avg:32.08ms
step:20/1280 train_time:645ms step_avg:32.25ms
step:21/1280 train_time:672ms step_avg:31.98ms
step:22/1280 train_time:707ms step_avg:32.14ms
step:23/1280 train_time:734ms step_avg:31.90ms
step:24/1280 train_time:769ms step_avg:32.04ms
step:25/1280 train_time:796ms step_avg:31.83ms
step:26/1280 train_time:831ms step_avg:31.96ms
step:27/1280 train_time:858ms step_avg:31.77ms
step:28/1280 train_time:893ms step_avg:31.89ms
step:29/1280 train_time:920ms step_avg:31.72ms
step:30/1280 train_time:955ms step_avg:31.83ms
step:31/1280 train_time:982ms step_avg:31.69ms
step:32/1280 train_time:1018ms step_avg:31.81ms
step:33/1280 train_time:1046ms step_avg:31.69ms
step:34/1280 train_time:1082ms step_avg:31.84ms
step:35/1280 train_time:1109ms step_avg:31.70ms
step:36/1280 train_time:1145ms step_avg:31.82ms
step:37/1280 train_time:1173ms step_avg:31.69ms
step:38/1280 train_time:1208ms step_avg:31.80ms
step:39/1280 train_time:1235ms step_avg:31.66ms
step:40/1280 train_time:1270ms step_avg:31.75ms
step:41/1280 train_time:1297ms step_avg:31.64ms
step:42/1280 train_time:1332ms step_avg:31.72ms
step:43/1280 train_time:1360ms step_avg:31.62ms
step:44/1280 train_time:1395ms step_avg:31.71ms
step:45/1280 train_time:1422ms step_avg:31.60ms
step:46/1280 train_time:1458ms step_avg:31.69ms
step:47/1280 train_time:1485ms step_avg:31.60ms
step:48/1280 train_time:1520ms step_avg:31.67ms
step:49/1280 train_time:1547ms step_avg:31.56ms
step:50/1280 train_time:1582ms step_avg:31.64ms
step:51/1280 train_time:1609ms step_avg:31.55ms
step:52/1280 train_time:1644ms step_avg:31.62ms
step:53/1280 train_time:1671ms step_avg:31.52ms
