W0420 02:00:47.741000 114355 torch/distributed/run.py:852] 
W0420 02:00:47.741000 114355 torch/distributed/run.py:852] *****************************************
W0420 02:00:47.741000 114355 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 02:00:47.741000 114355 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4[Gloo] Rank  is connected to 17 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 3 is connected to [Gloo] Rank 7[Gloo] Rank 6 peer ranks. [Gloo] Rank 5 is connected to Expected number of connected peer ranks is : 7 is connected to 77 is connected to 7 peer ranks. 
7 peer ranks. Expected number of connected peer ranks is :  peer ranks. Expected number of connected peer ranks is : 7Expected number of connected peer ranks is : 7
7

Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 91180.52it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 101067.57it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92691.80it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 91678.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 95325.09it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56488.94it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 100462.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 91678.78it/s]
logs/cbb091c8-24bb-498c-9f28-3c74e66539db.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8307 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:64ms step_avg:64.24ms
step:2/1480 train_time:85ms step_avg:42.57ms
step:3/1480 train_time:101ms step_avg:33.78ms
step:4/1480 train_time:136ms step_avg:33.90ms
step:5/1480 train_time:163ms step_avg:32.64ms
step:6/1480 train_time:198ms step_avg:32.96ms
step:7/1480 train_time:225ms step_avg:32.18ms
step:8/1480 train_time:260ms step_avg:32.49ms
step:9/1480 train_time:287ms step_avg:31.94ms
step:10/1480 train_time:322ms step_avg:32.21ms
step:11/1480 train_time:350ms step_avg:31.82ms
step:12/1480 train_time:384ms step_avg:32.04ms
step:13/1480 train_time:412ms step_avg:31.72ms
step:14/1480 train_time:447ms step_avg:31.92ms
step:15/1480 train_time:475ms step_avg:31.66ms
step:16/1480 train_time:509ms step_avg:31.82ms
step:17/1480 train_time:538ms step_avg:31.62ms
step:18/1480 train_time:572ms step_avg:31.78ms
step:19/1480 train_time:600ms step_avg:31.60ms
step:20/1480 train_time:635ms step_avg:31.73ms
step:21/1480 train_time:663ms step_avg:31.56ms
step:22/1480 train_time:697ms step_avg:31.69ms
step:23/1480 train_time:725ms step_avg:31.53ms
step:24/1480 train_time:759ms step_avg:31.64ms
step:25/1480 train_time:787ms step_avg:31.50ms
step:26/1480 train_time:822ms step_avg:31.62ms
step:27/1480 train_time:850ms step_avg:31.49ms
step:28/1480 train_time:885ms step_avg:31.59ms
step:29/1480 train_time:913ms step_avg:31.47ms
step:30/1480 train_time:947ms step_avg:31.57ms
step:31/1480 train_time:975ms step_avg:31.46ms
step:32/1480 train_time:1010ms step_avg:31.56ms
step:33/1480 train_time:1039ms step_avg:31.47ms
step:34/1480 train_time:1073ms step_avg:31.55ms
step:35/1480 train_time:1101ms step_avg:31.46ms
step:36/1480 train_time:1135ms step_avg:31.54ms
step:37/1480 train_time:1164ms step_avg:31.45ms
step:38/1480 train_time:1198ms step_avg:31.53ms
step:39/1480 train_time:1226ms step_avg:31.44ms
step:40/1480 train_time:1261ms step_avg:31.51ms
step:41/1480 train_time:1289ms step_avg:31.43ms
step:42/1480 train_time:1324ms step_avg:31.51ms
step:43/1480 train_time:1352ms step_avg:31.43ms
step:44/1480 train_time:1386ms step_avg:31.51ms
step:45/1480 train_time:1414ms step_avg:31.43ms
step:46/1480 train_time:1449ms step_avg:31.50ms
step:47/1480 train_time:1477ms step_avg:31.43ms
step:48/1480 train_time:1511ms step_avg:31.49ms
step:49/1480 train_time:1540ms step_avg:31.42ms
step:50/1480 train_time:1574ms step_avg:31.48ms
step:51/1480 train_time:1602ms step_avg:31.41ms
step:52/1480 train_time:1636ms step_avg:31.47ms
step:53/1480 train_time:1664ms step_avg:31.41ms
step:54/1480 train_time:1699ms step_avg:31.47ms
step:55/1480 train_time:1727ms step_avg:31.40ms
step:56/1480 train_time:1761ms step_avg:31.45ms
