W0420 02:06:12.777000 119540 torch/distributed/run.py:852] 
W0420 02:06:12.777000 119540 torch/distributed/run.py:852] *****************************************
W0420 02:06:12.777000 119540 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 02:06:12.777000 119540 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7[Gloo] Rank  peer ranks. Expected number of connected peer ranks is : 77 is connected to 
7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 101067.57it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92691.80it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 97541.95it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 97541.95it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 87381.33it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93727.46it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 84307.62it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 97541.95it/s]
logs/40457f91-bede-4488-8929-41f9adfd225a.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8300 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:67ms step_avg:67.21ms
step:2/1480 train_time:87ms step_avg:43.60ms
step:3/1480 train_time:106ms step_avg:35.26ms
step:4/1480 train_time:140ms step_avg:35.09ms
step:5/1480 train_time:168ms step_avg:33.53ms
step:6/1480 train_time:202ms step_avg:33.73ms
step:7/1480 train_time:230ms step_avg:32.91ms
step:8/1480 train_time:265ms step_avg:33.11ms
step:9/1480 train_time:293ms step_avg:32.54ms
step:10/1480 train_time:327ms step_avg:32.69ms
step:11/1480 train_time:355ms step_avg:32.28ms
step:12/1480 train_time:389ms step_avg:32.44ms
step:13/1480 train_time:417ms step_avg:32.10ms
step:14/1480 train_time:451ms step_avg:32.24ms
step:15/1480 train_time:480ms step_avg:31.97ms
step:16/1480 train_time:514ms step_avg:32.12ms
step:17/1480 train_time:542ms step_avg:31.90ms
step:18/1480 train_time:577ms step_avg:32.04ms
step:19/1480 train_time:605ms step_avg:31.84ms
step:20/1480 train_time:639ms step_avg:31.97ms
step:21/1480 train_time:668ms step_avg:31.79ms
step:22/1480 train_time:702ms step_avg:31.90ms
step:23/1480 train_time:730ms step_avg:31.74ms
step:24/1480 train_time:764ms step_avg:31.84ms
step:25/1480 train_time:793ms step_avg:31.70ms
step:26/1480 train_time:827ms step_avg:31.80ms
step:27/1480 train_time:855ms step_avg:31.67ms
step:28/1480 train_time:889ms step_avg:31.76ms
step:29/1480 train_time:917ms step_avg:31.63ms
step:30/1480 train_time:952ms step_avg:31.72ms
step:31/1480 train_time:980ms step_avg:31.61ms
step:32/1480 train_time:1014ms step_avg:31.69ms
step:33/1480 train_time:1043ms step_avg:31.60ms
step:34/1480 train_time:1078ms step_avg:31.69ms
step:35/1480 train_time:1106ms step_avg:31.59ms
step:36/1480 train_time:1140ms step_avg:31.68ms
step:37/1480 train_time:1169ms step_avg:31.58ms
step:38/1480 train_time:1203ms step_avg:31.67ms
step:39/1480 train_time:1232ms step_avg:31.58ms
step:40/1480 train_time:1266ms step_avg:31.65ms
step:41/1480 train_time:1294ms step_avg:31.57ms
step:42/1480 train_time:1329ms step_avg:31.63ms
step:43/1480 train_time:1357ms step_avg:31.55ms
step:44/1480 train_time:1392ms step_avg:31.63ms
step:45/1480 train_time:1419ms step_avg:31.54ms
step:46/1480 train_time:1454ms step_avg:31.60ms
step:47/1480 train_time:1482ms step_avg:31.53ms
step:48/1480 train_time:1516ms step_avg:31.59ms
step:49/1480 train_time:1545ms step_avg:31.52ms
step:50/1480 train_time:1579ms step_avg:31.58ms
step:51/1480 train_time:1608ms step_avg:31.52ms
step:52/1480 train_time:1642ms step_avg:31.58ms
step:53/1480 train_time:1671ms step_avg:31.52ms
step:54/1480 train_time:1705ms step_avg:31.57ms
step:55/1480 train_time:1733ms step_avg:31.51ms
step:56/1480 train_time:1767ms step_avg:31.56ms
step:57/1480 train_time:1796ms step_avg:31.50ms
step:58/1480 train_time:1830ms step_avg:31.55ms
step:59/1480 train_time:1858ms step_avg:31.49ms
step:60/1480 train_time:1892ms step_avg:31.54ms
step:61/1480 train_time:1921ms step_avg:31.49ms
step:62/1480 train_time:1955ms step_avg:31.53ms
step:63/1480 train_time:1983ms step_avg:31.48ms
step:64/1480 train_time:2017ms step_avg:31.52ms
step:65/1480 train_time:2046ms step_avg:31.47ms
step:66/1480 train_time:2081ms step_avg:31.52ms
step:67/1480 train_time:2109ms step_avg:31.48ms
step:68/1480 train_time:2143ms step_avg:31.52ms
step:69/1480 train_time:2172ms step_avg:31.48ms
step:70/1480 train_time:2206ms step_avg:31.51ms
step:71/1480 train_time:2235ms step_avg:31.48ms
step:72/1480 train_time:2269ms step_avg:31.51ms
step:73/1480 train_time:2297ms step_avg:31.47ms
step:74/1480 train_time:2331ms step_avg:31.50ms
step:75/1480 train_time:2359ms step_avg:31.46ms
step:76/1480 train_time:2394ms step_avg:31.49ms
step:77/1480 train_time:2422ms step_avg:31.45ms
step:78/1480 train_time:2456ms step_avg:31.49ms
step:79/1480 train_time:2484ms step_avg:31.45ms
step:80/1480 train_time:2519ms step_avg:31.48ms
step:81/1480 train_time:2547ms step_avg:31.45ms
step:82/1480 train_time:2581ms step_avg:31.48ms
step:83/1480 train_time:2610ms step_avg:31.44ms
step:84/1480 train_time:2644ms step_avg:31.48ms
step:85/1480 train_time:2672ms step_avg:31.44ms
step:86/1480 train_time:2707ms step_avg:31.47ms
step:87/1480 train_time:2735ms step_avg:31.43ms
step:88/1480 train_time:2769ms step_avg:31.46ms
step:89/1480 train_time:2798ms step_avg:31.43ms
step:90/1480 train_time:2832ms step_avg:31.46ms
step:91/1480 train_time:2860ms step_avg:31.43ms
step:92/1480 train_time:2894ms step_avg:31.46ms
step:93/1480 train_time:2922ms step_avg:31.42ms
step:94/1480 train_time:2957ms step_avg:31.46ms
step:95/1480 train_time:2985ms step_avg:31.42ms
step:96/1480 train_time:3020ms step_avg:31.46ms
step:97/1480 train_time:3048ms step_avg:31.42ms
