W0420 02:09:08.649000 122507 torch/distributed/run.py:852] 
W0420 02:09:08.649000 122507 torch/distributed/run.py:852] *****************************************
W0420 02:09:08.649000 122507 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 02:09:08.649000 122507 torch/distributed/run.py:852] *****************************************
[Gloo] Rank [Gloo] Rank 0[Gloo] Rank 5 is connected to 1 is connected to 7 is connected to 7 peer ranks. 7 peer ranks. Expected number of connected peer ranks is :  peer ranks. Expected number of connected peer ranks is : 7Expected number of connected peer ranks is : 7
7

[Gloo] Rank [Gloo] Rank 23 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank [Gloo] Rank [Gloo] Rank 476 is connected to  is connected to  is connected to 777 peer ranks.  peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 777


Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 94254.02it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 98689.51it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 94254.02it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 98689.51it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 90687.65it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56871.92it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 57653.66it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 89240.51it/s]
logs/6c0e1721-0798-412d-8759-9cac0907f065.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8291 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:63ms step_avg:63.37ms
step:2/1480 train_time:84ms step_avg:41.93ms
step:3/1480 train_time:101ms step_avg:33.77ms
step:4/1480 train_time:136ms step_avg:33.98ms
step:5/1480 train_time:163ms step_avg:32.69ms
step:6/1480 train_time:198ms step_avg:33.02ms
step:7/1480 train_time:226ms step_avg:32.23ms
step:8/1480 train_time:260ms step_avg:32.51ms
step:9/1480 train_time:288ms step_avg:31.99ms
step:10/1480 train_time:323ms step_avg:32.26ms
step:11/1480 train_time:351ms step_avg:31.87ms
step:12/1480 train_time:385ms step_avg:32.10ms
step:13/1480 train_time:413ms step_avg:31.79ms
step:14/1480 train_time:448ms step_avg:31.99ms
step:15/1480 train_time:476ms step_avg:31.74ms
step:16/1480 train_time:511ms step_avg:31.91ms
step:17/1480 train_time:539ms step_avg:31.70ms
step:18/1480 train_time:573ms step_avg:31.86ms
step:19/1480 train_time:602ms step_avg:31.67ms
step:20/1480 train_time:636ms step_avg:31.81ms
step:21/1480 train_time:664ms step_avg:31.64ms
step:22/1480 train_time:699ms step_avg:31.77ms
step:23/1480 train_time:727ms step_avg:31.61ms
step:24/1480 train_time:762ms step_avg:31.75ms
step:25/1480 train_time:790ms step_avg:31.59ms
step:26/1480 train_time:825ms step_avg:31.72ms
step:27/1480 train_time:853ms step_avg:31.59ms
step:28/1480 train_time:887ms step_avg:31.69ms
step:29/1480 train_time:916ms step_avg:31.58ms
step:30/1480 train_time:950ms step_avg:31.68ms
step:31/1480 train_time:979ms step_avg:31.57ms
step:32/1480 train_time:1014ms step_avg:31.68ms
step:33/1480 train_time:1042ms step_avg:31.58ms
step:34/1480 train_time:1077ms step_avg:31.67ms
step:35/1480 train_time:1105ms step_avg:31.57ms
step:36/1480 train_time:1140ms step_avg:31.66ms
step:37/1480 train_time:1168ms step_avg:31.57ms
step:38/1480 train_time:1203ms step_avg:31.66ms
step:39/1480 train_time:1231ms step_avg:31.57ms
step:40/1480 train_time:1266ms step_avg:31.65ms
step:41/1480 train_time:1294ms step_avg:31.57ms
step:42/1480 train_time:1329ms step_avg:31.65ms
step:43/1480 train_time:1358ms step_avg:31.57ms
step:44/1480 train_time:1392ms step_avg:31.64ms
step:45/1480 train_time:1420ms step_avg:31.57ms
step:46/1480 train_time:1455ms step_avg:31.63ms
step:47/1480 train_time:1484ms step_avg:31.57ms
step:48/1480 train_time:1518ms step_avg:31.62ms
step:49/1480 train_time:1545ms step_avg:31.54ms
step:50/1480 train_time:1580ms step_avg:31.60ms
step:51/1480 train_time:1608ms step_avg:31.53ms
step:52/1480 train_time:1643ms step_avg:31.59ms
step:53/1480 train_time:1671ms step_avg:31.53ms
step:54/1480 train_time:1706ms step_avg:31.59ms
step:55/1480 train_time:1734ms step_avg:31.53ms
step:56/1480 train_time:1768ms step_avg:31.58ms
step:57/1480 train_time:1797ms step_avg:31.52ms
step:58/1480 train_time:1831ms step_avg:31.58ms
step:59/1480 train_time:1860ms step_avg:31.52ms
step:60/1480 train_time:1894ms step_avg:31.57ms
step:61/1480 train_time:1923ms step_avg:31.52ms
step:62/1480 train_time:1957ms step_avg:31.57ms
step:63/1480 train_time:1985ms step_avg:31.51ms
step:64/1480 train_time:2020ms step_avg:31.56ms
step:65/1480 train_time:2048ms step_avg:31.50ms
step:66/1480 train_time:2082ms step_avg:31.55ms
step:67/1480 train_time:2111ms step_avg:31.50ms
step:68/1480 train_time:2145ms step_avg:31.55ms
step:69/1480 train_time:2174ms step_avg:31.50ms
step:70/1480 train_time:2209ms step_avg:31.55ms
step:71/1480 train_time:2237ms step_avg:31.51ms
step:72/1480 train_time:2272ms step_avg:31.55ms
step:73/1480 train_time:2300ms step_avg:31.51ms
step:74/1480 train_time:2335ms step_avg:31.55ms
step:75/1480 train_time:2363ms step_avg:31.51ms
step:76/1480 train_time:2397ms step_avg:31.54ms
step:77/1480 train_time:2426ms step_avg:31.50ms
step:78/1480 train_time:2460ms step_avg:31.54ms
step:79/1480 train_time:2488ms step_avg:31.49ms
step:80/1480 train_time:2523ms step_avg:31.53ms
step:81/1480 train_time:2551ms step_avg:31.49ms
step:82/1480 train_time:2585ms step_avg:31.53ms
step:83/1480 train_time:2614ms step_avg:31.49ms
step:84/1480 train_time:2648ms step_avg:31.53ms
step:85/1480 train_time:2676ms step_avg:31.49ms
step:86/1480 train_time:2711ms step_avg:31.52ms
step:87/1480 train_time:2739ms step_avg:31.48ms
step:88/1480 train_time:2773ms step_avg:31.52ms
step:89/1480 train_time:2802ms step_avg:31.48ms
step:90/1480 train_time:2836ms step_avg:31.51ms
step:91/1480 train_time:2864ms step_avg:31.47ms
step:92/1480 train_time:2898ms step_avg:31.51ms
step:93/1480 train_time:2927ms step_avg:31.47ms
step:94/1480 train_time:2962ms step_avg:31.51ms
step:95/1480 train_time:2990ms step_avg:31.47ms
step:96/1480 train_time:3024ms step_avg:31.50ms
step:97/1480 train_time:3052ms step_avg:31.47ms
step:98/1480 train_time:3087ms step_avg:31.50ms
step:99/1480 train_time:3115ms step_avg:31.47ms
step:100/1480 train_time:3150ms step_avg:31.50ms
step:101/1480 train_time:3178ms step_avg:31.47ms
step:102/1480 train_time:3213ms step_avg:31.50ms
step:103/1480 train_time:3241ms step_avg:31.46ms
step:104/1480 train_time:3275ms step_avg:31.49ms
step:105/1480 train_time:3303ms step_avg:31.46ms
step:106/1480 train_time:3338ms step_avg:31.49ms
step:107/1480 train_time:3366ms step_avg:31.46ms
step:108/1480 train_time:3401ms step_avg:31.49ms
step:109/1480 train_time:3429ms step_avg:31.46ms
step:110/1480 train_time:3464ms step_avg:31.49ms
step:111/1480 train_time:3492ms step_avg:31.46ms
step:112/1480 train_time:3527ms step_avg:31.49ms
step:113/1480 train_time:3555ms step_avg:31.46ms
step:114/1480 train_time:3589ms step_avg:31.48ms
step:115/1480 train_time:3617ms step_avg:31.46ms
step:116/1480 train_time:3652ms step_avg:31.48ms
step:117/1480 train_time:3680ms step_avg:31.45ms
step:118/1480 train_time:3714ms step_avg:31.48ms
step:119/1480 train_time:3742ms step_avg:31.45ms
step:120/1480 train_time:3776ms step_avg:31.47ms
step:121/1480 train_time:3805ms step_avg:31.44ms
step:122/1480 train_time:3839ms step_avg:31.47ms
step:123/1480 train_time:3867ms step_avg:31.44ms
step:124/1480 train_time:3902ms step_avg:31.47ms
step:125/1480 train_time:3930ms step_avg:31.44ms
step:126/1480 train_time:3965ms step_avg:31.47ms
step:127/1480 train_time:3993ms step_avg:31.44ms
step:128/1480 train_time:4028ms step_avg:31.47ms
step:129/1480 train_time:4056ms step_avg:31.44ms
step:130/1480 train_time:4091ms step_avg:31.47ms
step:131/1480 train_time:4119ms step_avg:31.44ms
step:132/1480 train_time:4154ms step_avg:31.47ms
step:133/1480 train_time:4182ms step_avg:31.44ms
step:134/1480 train_time:4216ms step_avg:31.47ms
step:135/1480 train_time:4244ms step_avg:31.44ms
step:136/1480 train_time:4279ms step_avg:31.46ms
step:137/1480 train_time:4307ms step_avg:31.44ms
step:138/1480 train_time:4341ms step_avg:31.46ms
step:139/1480 train_time:4370ms step_avg:31.44ms
step:140/1480 train_time:4404ms step_avg:31.46ms
step:141/1480 train_time:4433ms step_avg:31.44ms
step:142/1480 train_time:4468ms step_avg:31.46ms
step:143/1480 train_time:4496ms step_avg:31.44ms
step:144/1480 train_time:4531ms step_avg:31.46ms
step:145/1480 train_time:4559ms step_avg:31.44ms
step:146/1480 train_time:4593ms step_avg:31.46ms
step:147/1480 train_time:4622ms step_avg:31.44ms
step:148/1480 train_time:4656ms step_avg:31.46ms
