W0420 02:14:36.140000 127098 torch/distributed/run.py:852] 
W0420 02:14:36.140000 127098 torch/distributed/run.py:852] *****************************************
W0420 02:14:36.140000 127098 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 02:14:36.140000 127098 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7[Gloo] Rank 
2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5[Gloo] Rank  is connected to 74 peer ranks.  is connected to Expected number of connected peer ranks is : 77 peer ranks. 
Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 99273.47it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 53946.03it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 98112.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 90200.09it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 96420.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 95869.81it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 94254.02it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 58052.65it/s]
logs/a73e41e4-9903-45ee-bcd6-61299abb7ec4.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8259 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:76ms step_avg:75.60ms
step:2/1480 train_time:96ms step_avg:48.18ms
step:3/1480 train_time:118ms step_avg:39.25ms
step:4/1480 train_time:152ms step_avg:38.10ms
step:5/1480 train_time:180ms step_avg:35.93ms
step:6/1480 train_time:214ms step_avg:35.68ms
step:7/1480 train_time:242ms step_avg:34.55ms
step:8/1480 train_time:276ms step_avg:34.55ms
step:9/1480 train_time:304ms step_avg:33.79ms
step:10/1480 train_time:339ms step_avg:33.87ms
step:11/1480 train_time:367ms step_avg:33.36ms
step:12/1480 train_time:401ms step_avg:33.44ms
step:13/1480 train_time:429ms step_avg:33.02ms
step:14/1480 train_time:464ms step_avg:33.14ms
step:15/1480 train_time:492ms step_avg:32.82ms
step:16/1480 train_time:527ms step_avg:32.93ms
step:17/1480 train_time:555ms step_avg:32.67ms
step:18/1480 train_time:590ms step_avg:32.75ms
step:19/1480 train_time:618ms step_avg:32.52ms
step:20/1480 train_time:652ms step_avg:32.61ms
step:21/1480 train_time:680ms step_avg:32.40ms
step:22/1480 train_time:715ms step_avg:32.48ms
step:23/1480 train_time:743ms step_avg:32.30ms
step:24/1480 train_time:778ms step_avg:32.40ms
step:25/1480 train_time:806ms step_avg:32.22ms
step:26/1480 train_time:840ms step_avg:32.32ms
step:27/1480 train_time:868ms step_avg:32.16ms
step:28/1480 train_time:903ms step_avg:32.23ms
step:29/1480 train_time:931ms step_avg:32.09ms
step:30/1480 train_time:965ms step_avg:32.16ms
step:31/1480 train_time:994ms step_avg:32.05ms
step:32/1480 train_time:1028ms step_avg:32.14ms
step:33/1480 train_time:1057ms step_avg:32.03ms
step:34/1480 train_time:1091ms step_avg:32.09ms
step:35/1480 train_time:1119ms step_avg:31.98ms
step:36/1480 train_time:1154ms step_avg:32.04ms
step:37/1480 train_time:1182ms step_avg:31.94ms
step:38/1480 train_time:1217ms step_avg:32.01ms
step:39/1480 train_time:1245ms step_avg:31.91ms
step:40/1480 train_time:1280ms step_avg:31.99ms
step:41/1480 train_time:1308ms step_avg:31.90ms
step:42/1480 train_time:1342ms step_avg:31.96ms
step:43/1480 train_time:1371ms step_avg:31.87ms
step:44/1480 train_time:1405ms step_avg:31.93ms
step:45/1480 train_time:1433ms step_avg:31.85ms
step:46/1480 train_time:1468ms step_avg:31.91ms
step:47/1480 train_time:1496ms step_avg:31.84ms
step:48/1480 train_time:1531ms step_avg:31.89ms
step:49/1480 train_time:1559ms step_avg:31.82ms
step:50/1480 train_time:1593ms step_avg:31.87ms
step:51/1480 train_time:1622ms step_avg:31.80ms
step:52/1480 train_time:1656ms step_avg:31.85ms
step:53/1480 train_time:1685ms step_avg:31.78ms
step:54/1480 train_time:1719ms step_avg:31.83ms
step:55/1480 train_time:1747ms step_avg:31.77ms
step:56/1480 train_time:1782ms step_avg:31.82ms
step:57/1480 train_time:1810ms step_avg:31.76ms
step:58/1480 train_time:1845ms step_avg:31.81ms
step:59/1480 train_time:1873ms step_avg:31.75ms
step:60/1480 train_time:1907ms step_avg:31.79ms
step:61/1480 train_time:1936ms step_avg:31.73ms
step:62/1480 train_time:1970ms step_avg:31.77ms
step:63/1480 train_time:1998ms step_avg:31.71ms
step:64/1480 train_time:2032ms step_avg:31.76ms
step:65/1480 train_time:2061ms step_avg:31.71ms
step:66/1480 train_time:2096ms step_avg:31.75ms
step:67/1480 train_time:2124ms step_avg:31.71ms
