W0420 02:17:31.634000 130266 torch/distributed/run.py:852] 
W0420 02:17:31.634000 130266 torch/distributed/run.py:852] *****************************************
W0420 02:17:31.634000 130266 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 02:17:31.634000 130266 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank [Gloo] Rank [Gloo] Rank [Gloo] Rank 63457 is connected to  is connected to  is connected to  is connected to  is connected to 77777 peer ranks.  peer ranks.  peer ranks.  peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77777




Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 94786.53it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56871.92it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 75915.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 90200.09it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 86928.58it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 99864.38it/s]
logs/b822e281-addc-465a-9daa-112f4528000d.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 98112.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 83886.08it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8254 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:67ms step_avg:66.95ms
step:2/1480 train_time:88ms step_avg:43.80ms
step:3/1480 train_time:106ms step_avg:35.44ms
step:4/1480 train_time:141ms step_avg:35.35ms
step:5/1480 train_time:170ms step_avg:33.91ms
step:6/1480 train_time:205ms step_avg:34.12ms
step:7/1480 train_time:233ms step_avg:33.29ms
step:8/1480 train_time:269ms step_avg:33.61ms
step:9/1480 train_time:296ms step_avg:32.94ms
step:10/1480 train_time:331ms step_avg:33.15ms
step:11/1480 train_time:360ms step_avg:32.72ms
step:12/1480 train_time:395ms step_avg:32.93ms
step:13/1480 train_time:424ms step_avg:32.60ms
step:14/1480 train_time:459ms step_avg:32.81ms
step:15/1480 train_time:488ms step_avg:32.52ms
step:16/1480 train_time:523ms step_avg:32.68ms
step:17/1480 train_time:552ms step_avg:32.45ms
step:18/1480 train_time:587ms step_avg:32.60ms
step:19/1480 train_time:615ms step_avg:32.39ms
step:20/1480 train_time:651ms step_avg:32.53ms
step:21/1480 train_time:679ms step_avg:32.33ms
step:22/1480 train_time:714ms step_avg:32.45ms
step:23/1480 train_time:743ms step_avg:32.29ms
step:24/1480 train_time:778ms step_avg:32.43ms
step:25/1480 train_time:807ms step_avg:32.26ms
step:26/1480 train_time:842ms step_avg:32.38ms
step:27/1480 train_time:870ms step_avg:32.24ms
step:28/1480 train_time:905ms step_avg:32.34ms
step:29/1480 train_time:934ms step_avg:32.22ms
step:30/1480 train_time:969ms step_avg:32.31ms
step:31/1480 train_time:998ms step_avg:32.18ms
step:32/1480 train_time:1033ms step_avg:32.27ms
step:33/1480 train_time:1061ms step_avg:32.16ms
step:34/1480 train_time:1097ms step_avg:32.26ms
step:35/1480 train_time:1125ms step_avg:32.15ms
step:36/1480 train_time:1160ms step_avg:32.23ms
step:37/1480 train_time:1189ms step_avg:32.13ms
step:38/1480 train_time:1224ms step_avg:32.22ms
step:39/1480 train_time:1253ms step_avg:32.14ms
step:40/1480 train_time:1288ms step_avg:32.21ms
step:41/1480 train_time:1317ms step_avg:32.12ms
step:42/1480 train_time:1352ms step_avg:32.20ms
step:43/1480 train_time:1381ms step_avg:32.12ms
step:44/1480 train_time:1417ms step_avg:32.20ms
step:45/1480 train_time:1445ms step_avg:32.12ms
step:46/1480 train_time:1481ms step_avg:32.19ms
step:47/1480 train_time:1509ms step_avg:32.11ms
step:48/1480 train_time:1544ms step_avg:32.17ms
step:49/1480 train_time:1573ms step_avg:32.10ms
step:50/1480 train_time:1608ms step_avg:32.16ms
step:51/1480 train_time:1636ms step_avg:32.09ms
step:52/1480 train_time:1672ms step_avg:32.15ms
step:53/1480 train_time:1700ms step_avg:32.08ms
step:54/1480 train_time:1736ms step_avg:32.14ms
step:55/1480 train_time:1764ms step_avg:32.07ms
step:56/1480 train_time:1799ms step_avg:32.13ms
step:57/1480 train_time:1828ms step_avg:32.07ms
step:58/1480 train_time:1863ms step_avg:32.12ms
step:59/1480 train_time:1891ms step_avg:32.06ms
