W0420 01:13:27.999000 71072 torch/distributed/run.py:852] 
W0420 01:13:27.999000 71072 torch/distributed/run.py:852] *****************************************
W0420 01:13:27.999000 71072 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:13:27.999000 71072 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 65 is connected to  is connected to [Gloo] Rank 777 peer ranks.  peer ranks.  is connected to Expected number of connected peer ranks is : Expected number of connected peer ranks is : 777 peer ranks. 

Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92691.80it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 91180.52it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 91678.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 96978.13it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92182.51it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56679.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 101067.57it/s]
logs/9c444c3e-8004-44e7-8df8-71923f047e0e.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 53430.62it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8320 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:71ms step_avg:71.38ms
step:2/1480 train_time:91ms step_avg:45.49ms
step:3/1480 train_time:107ms step_avg:35.81ms
step:4/1480 train_time:142ms step_avg:35.43ms
step:5/1480 train_time:169ms step_avg:33.77ms
step:6/1480 train_time:203ms step_avg:33.86ms
step:7/1480 train_time:231ms step_avg:32.93ms
step:8/1480 train_time:265ms step_avg:33.09ms
step:9/1480 train_time:292ms step_avg:32.49ms
step:10/1480 train_time:326ms step_avg:32.63ms
step:11/1480 train_time:354ms step_avg:32.20ms
step:12/1480 train_time:388ms step_avg:32.33ms
step:13/1480 train_time:416ms step_avg:31.98ms
step:14/1480 train_time:450ms step_avg:32.11ms
step:15/1480 train_time:478ms step_avg:31.84ms
step:16/1480 train_time:511ms step_avg:31.97ms
step:17/1480 train_time:539ms step_avg:31.71ms
step:18/1480 train_time:573ms step_avg:31.85ms
step:19/1480 train_time:601ms step_avg:31.62ms
step:20/1480 train_time:635ms step_avg:31.73ms
step:21/1480 train_time:662ms step_avg:31.53ms
step:22/1480 train_time:697ms step_avg:31.66ms
step:23/1480 train_time:724ms step_avg:31.48ms
step:24/1480 train_time:759ms step_avg:31.61ms
step:25/1480 train_time:786ms step_avg:31.45ms
step:26/1480 train_time:820ms step_avg:31.55ms
step:27/1480 train_time:848ms step_avg:31.40ms
step:28/1480 train_time:882ms step_avg:31.49ms
step:29/1480 train_time:909ms step_avg:31.36ms
step:30/1480 train_time:944ms step_avg:31.45ms
step:31/1480 train_time:972ms step_avg:31.34ms
step:32/1480 train_time:1006ms step_avg:31.42ms
step:33/1480 train_time:1034ms step_avg:31.33ms
step:34/1480 train_time:1068ms step_avg:31.43ms
step:35/1480 train_time:1097ms step_avg:31.34ms
step:36/1480 train_time:1132ms step_avg:31.43ms
step:37/1480 train_time:1159ms step_avg:31.32ms
step:38/1480 train_time:1193ms step_avg:31.41ms
step:39/1480 train_time:1221ms step_avg:31.30ms
step:40/1480 train_time:1255ms step_avg:31.37ms
step:41/1480 train_time:1283ms step_avg:31.29ms
step:42/1480 train_time:1317ms step_avg:31.37ms
step:43/1480 train_time:1345ms step_avg:31.28ms
step:44/1480 train_time:1379ms step_avg:31.35ms
step:45/1480 train_time:1407ms step_avg:31.26ms
step:46/1480 train_time:1441ms step_avg:31.32ms
step:47/1480 train_time:1469ms step_avg:31.25ms
step:48/1480 train_time:1502ms step_avg:31.30ms
step:49/1480 train_time:1531ms step_avg:31.24ms
step:50/1480 train_time:1565ms step_avg:31.30ms
step:51/1480 train_time:1593ms step_avg:31.24ms
step:52/1480 train_time:1627ms step_avg:31.29ms
step:53/1480 train_time:1655ms step_avg:31.23ms
step:54/1480 train_time:1689ms step_avg:31.28ms
step:55/1480 train_time:1717ms step_avg:31.21ms
step:56/1480 train_time:1751ms step_avg:31.26ms
step:57/1480 train_time:1779ms step_avg:31.20ms
step:58/1480 train_time:1812ms step_avg:31.25ms
