W0420 01:21:45.571000 78965 torch/distributed/run.py:852] 
W0420 01:21:45.571000 78965 torch/distributed/run.py:852] *****************************************
W0420 01:21:45.571000 78965 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:21:45.571000 78965 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 65 is connected to  is connected to 77 peer ranks. [Gloo] Rank  peer ranks. Expected number of connected peer ranks is : 3Expected number of connected peer ranks is : 7 is connected to 7
7
 peer ranks. [Gloo] Rank Expected number of connected peer ranks is : 77 is connected to 
7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93206.76it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 58052.65it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 96420.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 88301.14it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 95325.09it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 91180.52it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 95325.09it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 99273.47it/s]
logs/48465ac4-56fd-443d-a1b4-b560fcd084ba.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8305 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:71ms step_avg:70.54ms
step:2/1480 train_time:91ms step_avg:45.49ms
step:3/1480 train_time:109ms step_avg:36.42ms
step:4/1480 train_time:144ms step_avg:35.89ms
step:5/1480 train_time:170ms step_avg:34.08ms
step:6/1480 train_time:205ms step_avg:34.10ms
step:7/1480 train_time:232ms step_avg:33.15ms
step:8/1480 train_time:266ms step_avg:33.28ms
step:9/1480 train_time:294ms step_avg:32.63ms
step:10/1480 train_time:328ms step_avg:32.80ms
step:11/1480 train_time:355ms step_avg:32.31ms
step:12/1480 train_time:389ms step_avg:32.46ms
step:13/1480 train_time:417ms step_avg:32.09ms
step:14/1480 train_time:451ms step_avg:32.23ms
step:15/1480 train_time:479ms step_avg:31.92ms
step:16/1480 train_time:513ms step_avg:32.04ms
step:17/1480 train_time:540ms step_avg:31.79ms
step:18/1480 train_time:574ms step_avg:31.91ms
step:19/1480 train_time:602ms step_avg:31.69ms
step:20/1480 train_time:636ms step_avg:31.81ms
step:21/1480 train_time:664ms step_avg:31.62ms
step:22/1480 train_time:698ms step_avg:31.73ms
step:23/1480 train_time:726ms step_avg:31.57ms
step:24/1480 train_time:760ms step_avg:31.67ms
step:25/1480 train_time:788ms step_avg:31.52ms
step:26/1480 train_time:822ms step_avg:31.61ms
step:27/1480 train_time:850ms step_avg:31.49ms
step:28/1480 train_time:884ms step_avg:31.56ms
step:29/1480 train_time:912ms step_avg:31.43ms
step:30/1480 train_time:946ms step_avg:31.52ms
step:31/1480 train_time:973ms step_avg:31.40ms
step:32/1480 train_time:1008ms step_avg:31.49ms
step:33/1480 train_time:1036ms step_avg:31.39ms
step:34/1480 train_time:1070ms step_avg:31.48ms
step:35/1480 train_time:1098ms step_avg:31.38ms
step:36/1480 train_time:1132ms step_avg:31.45ms
step:37/1480 train_time:1160ms step_avg:31.35ms
step:38/1480 train_time:1194ms step_avg:31.42ms
step:39/1480 train_time:1222ms step_avg:31.34ms
step:40/1480 train_time:1256ms step_avg:31.41ms
step:41/1480 train_time:1285ms step_avg:31.33ms
step:42/1480 train_time:1319ms step_avg:31.40ms
step:43/1480 train_time:1347ms step_avg:31.33ms
step:44/1480 train_time:1381ms step_avg:31.38ms
step:45/1480 train_time:1409ms step_avg:31.30ms
step:46/1480 train_time:1442ms step_avg:31.35ms
step:47/1480 train_time:1470ms step_avg:31.28ms
step:48/1480 train_time:1504ms step_avg:31.33ms
step:49/1480 train_time:1532ms step_avg:31.26ms
step:50/1480 train_time:1566ms step_avg:31.31ms
step:51/1480 train_time:1593ms step_avg:31.24ms
step:52/1480 train_time:1627ms step_avg:31.29ms
step:53/1480 train_time:1655ms step_avg:31.23ms
step:54/1480 train_time:1690ms step_avg:31.29ms
