W0420 01:27:08.617000 83181 torch/distributed/run.py:852] 
W0420 01:27:08.617000 83181 torch/distributed/run.py:852] *****************************************
W0420 01:27:08.617000 83181 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:27:08.617000 83181 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. [Gloo] Rank Expected number of connected peer ranks is : 67 is connected to 
7 peer ranks. [Gloo] Rank Expected number of connected peer ranks is : 47 is connected to [Gloo] Rank 
27 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93727.46it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 90687.65it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 101067.57it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93206.76it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 90687.65it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 87381.33it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 83886.08it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 89240.51it/s]
logs/5f55e453-9460-4a7a-a5f3-93f46256ccac.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8279 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:77ms step_avg:76.67ms
step:2/1480 train_time:96ms step_avg:47.99ms
step:3/1480 train_time:112ms step_avg:37.48ms
step:4/1480 train_time:146ms step_avg:36.57ms
step:5/1480 train_time:174ms step_avg:34.76ms
step:6/1480 train_time:207ms step_avg:34.58ms
step:7/1480 train_time:235ms step_avg:33.62ms
step:8/1480 train_time:269ms step_avg:33.64ms
step:9/1480 train_time:297ms step_avg:33.02ms
step:10/1480 train_time:331ms step_avg:33.11ms
step:11/1480 train_time:359ms step_avg:32.67ms
step:12/1480 train_time:393ms step_avg:32.74ms
step:13/1480 train_time:421ms step_avg:32.39ms
step:14/1480 train_time:455ms step_avg:32.48ms
step:15/1480 train_time:483ms step_avg:32.19ms
step:16/1480 train_time:516ms step_avg:32.28ms
step:17/1480 train_time:545ms step_avg:32.03ms
step:18/1480 train_time:578ms step_avg:32.13ms
step:19/1480 train_time:606ms step_avg:31.92ms
step:20/1480 train_time:640ms step_avg:32.02ms
step:21/1480 train_time:668ms step_avg:31.82ms
step:22/1480 train_time:702ms step_avg:31.93ms
step:23/1480 train_time:730ms step_avg:31.75ms
step:24/1480 train_time:764ms step_avg:31.84ms
step:25/1480 train_time:792ms step_avg:31.68ms
step:26/1480 train_time:826ms step_avg:31.76ms
step:27/1480 train_time:854ms step_avg:31.62ms
step:28/1480 train_time:887ms step_avg:31.69ms
step:29/1480 train_time:915ms step_avg:31.56ms
step:30/1480 train_time:949ms step_avg:31.62ms
step:31/1480 train_time:978ms step_avg:31.53ms
step:32/1480 train_time:1012ms step_avg:31.61ms
step:33/1480 train_time:1040ms step_avg:31.53ms
step:34/1480 train_time:1075ms step_avg:31.61ms
step:35/1480 train_time:1103ms step_avg:31.52ms
step:36/1480 train_time:1138ms step_avg:31.60ms
step:37/1480 train_time:1166ms step_avg:31.52ms
step:38/1480 train_time:1200ms step_avg:31.59ms
step:39/1480 train_time:1228ms step_avg:31.50ms
step:40/1480 train_time:1262ms step_avg:31.56ms
step:41/1480 train_time:1290ms step_avg:31.47ms
step:42/1480 train_time:1324ms step_avg:31.53ms
step:43/1480 train_time:1352ms step_avg:31.45ms
step:44/1480 train_time:1386ms step_avg:31.50ms
step:45/1480 train_time:1415ms step_avg:31.44ms
step:46/1480 train_time:1448ms step_avg:31.48ms
step:47/1480 train_time:1477ms step_avg:31.42ms
step:48/1480 train_time:1511ms step_avg:31.47ms
step:49/1480 train_time:1539ms step_avg:31.41ms
step:50/1480 train_time:1573ms step_avg:31.46ms
step:51/1480 train_time:1601ms step_avg:31.39ms
step:52/1480 train_time:1635ms step_avg:31.44ms
step:53/1480 train_time:1663ms step_avg:31.37ms
step:54/1480 train_time:1696ms step_avg:31.42ms
step:55/1480 train_time:1725ms step_avg:31.35ms
step:56/1480 train_time:1758ms step_avg:31.40ms
