W0420 01:35:26.117000 90479 torch/distributed/run.py:852] 
W0420 01:35:26.117000 90479 torch/distributed/run.py:852] *****************************************
W0420 01:35:26.117000 90479 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:35:26.117000 90479 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank [Gloo] Rank [Gloo] Rank 4576 is connected to  is connected to  is connected to  is connected to 7777 peer ranks.  peer ranks.  peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 7777



Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 99864.38it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56299.38it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93206.76it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 96420.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 102927.71it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 77672.30it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 86928.58it/s]
logs/3a36d40b-06fd-4855-bfe0-db86b3b88423.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92182.51it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8320 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:63ms step_avg:63.19ms
step:2/1480 train_time:83ms step_avg:41.62ms
step:3/1480 train_time:100ms step_avg:33.29ms
step:4/1480 train_time:134ms step_avg:33.43ms
step:5/1480 train_time:161ms step_avg:32.23ms
step:6/1480 train_time:196ms step_avg:32.63ms
step:7/1480 train_time:223ms step_avg:31.86ms
step:8/1480 train_time:257ms step_avg:32.15ms
step:9/1480 train_time:285ms step_avg:31.64ms
step:10/1480 train_time:319ms step_avg:31.90ms
step:11/1480 train_time:347ms step_avg:31.52ms
step:12/1480 train_time:381ms step_avg:31.73ms
step:13/1480 train_time:409ms step_avg:31.43ms
step:14/1480 train_time:443ms step_avg:31.61ms
step:15/1480 train_time:470ms step_avg:31.37ms
step:16/1480 train_time:504ms step_avg:31.51ms
step:17/1480 train_time:532ms step_avg:31.31ms
step:18/1480 train_time:566ms step_avg:31.45ms
step:19/1480 train_time:594ms step_avg:31.28ms
step:20/1480 train_time:628ms step_avg:31.42ms
step:21/1480 train_time:657ms step_avg:31.27ms
step:22/1480 train_time:690ms step_avg:31.38ms
step:23/1480 train_time:719ms step_avg:31.25ms
step:24/1480 train_time:752ms step_avg:31.35ms
step:25/1480 train_time:780ms step_avg:31.22ms
step:26/1480 train_time:814ms step_avg:31.32ms
step:27/1480 train_time:842ms step_avg:31.20ms
step:28/1480 train_time:876ms step_avg:31.29ms
step:29/1480 train_time:904ms step_avg:31.18ms
step:30/1480 train_time:938ms step_avg:31.26ms
step:31/1480 train_time:967ms step_avg:31.18ms
step:32/1480 train_time:1001ms step_avg:31.28ms
step:33/1480 train_time:1029ms step_avg:31.19ms
step:34/1480 train_time:1065ms step_avg:31.32ms
step:35/1480 train_time:1092ms step_avg:31.20ms
step:36/1480 train_time:1127ms step_avg:31.29ms
step:37/1480 train_time:1155ms step_avg:31.22ms
step:38/1480 train_time:1189ms step_avg:31.29ms
step:39/1480 train_time:1217ms step_avg:31.22ms
step:40/1480 train_time:1251ms step_avg:31.28ms
step:41/1480 train_time:1280ms step_avg:31.21ms
step:42/1480 train_time:1313ms step_avg:31.27ms
step:43/1480 train_time:1342ms step_avg:31.20ms
step:44/1480 train_time:1375ms step_avg:31.25ms
step:45/1480 train_time:1404ms step_avg:31.19ms
step:46/1480 train_time:1437ms step_avg:31.25ms
step:47/1480 train_time:1465ms step_avg:31.18ms
step:48/1480 train_time:1500ms step_avg:31.25ms
step:49/1480 train_time:1528ms step_avg:31.18ms
step:50/1480 train_time:1562ms step_avg:31.24ms
step:51/1480 train_time:1590ms step_avg:31.17ms
step:52/1480 train_time:1624ms step_avg:31.23ms
step:53/1480 train_time:1652ms step_avg:31.16ms
step:54/1480 train_time:1686ms step_avg:31.21ms
step:55/1480 train_time:1714ms step_avg:31.16ms
