W0420 01:38:20.419000 93488 torch/distributed/run.py:852] 
W0420 01:38:20.419000 93488 torch/distributed/run.py:852] *****************************************
W0420 01:38:20.419000 93488 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:38:20.419000 93488 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 35 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 71392.41it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93727.46it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 89717.73it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 57653.66it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 54471.48it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 57456.22it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93206.76it/s]
logs/1247f18b-3d90-4e0e-a663-73506bc96879.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 49784.02it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8317 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:75ms step_avg:75.30ms
step:2/1480 train_time:98ms step_avg:48.88ms
step:3/1480 train_time:114ms step_avg:38.15ms
step:4/1480 train_time:143ms step_avg:35.79ms
step:5/1480 train_time:170ms step_avg:34.06ms
step:6/1480 train_time:205ms step_avg:34.13ms
step:7/1480 train_time:232ms step_avg:33.13ms
step:8/1480 train_time:267ms step_avg:33.35ms
step:9/1480 train_time:294ms step_avg:32.70ms
step:10/1480 train_time:328ms step_avg:32.84ms
step:11/1480 train_time:356ms step_avg:32.37ms
step:12/1480 train_time:390ms step_avg:32.52ms
step:13/1480 train_time:418ms step_avg:32.15ms
step:14/1480 train_time:452ms step_avg:32.29ms
step:15/1480 train_time:480ms step_avg:31.99ms
step:16/1480 train_time:514ms step_avg:32.11ms
step:17/1480 train_time:542ms step_avg:31.89ms
step:18/1480 train_time:576ms step_avg:32.01ms
step:19/1480 train_time:604ms step_avg:31.80ms
step:20/1480 train_time:638ms step_avg:31.91ms
step:21/1480 train_time:666ms step_avg:31.73ms
step:22/1480 train_time:700ms step_avg:31.82ms
step:23/1480 train_time:728ms step_avg:31.65ms
step:24/1480 train_time:762ms step_avg:31.75ms
step:25/1480 train_time:790ms step_avg:31.59ms
step:26/1480 train_time:824ms step_avg:31.69ms
step:27/1480 train_time:852ms step_avg:31.55ms
step:28/1480 train_time:886ms step_avg:31.64ms
step:29/1480 train_time:914ms step_avg:31.51ms
step:30/1480 train_time:948ms step_avg:31.60ms
step:31/1480 train_time:976ms step_avg:31.48ms
step:32/1480 train_time:1010ms step_avg:31.57ms
step:33/1480 train_time:1038ms step_avg:31.46ms
step:34/1480 train_time:1072ms step_avg:31.54ms
step:35/1480 train_time:1101ms step_avg:31.44ms
step:36/1480 train_time:1134ms step_avg:31.51ms
step:37/1480 train_time:1163ms step_avg:31.43ms
step:38/1480 train_time:1197ms step_avg:31.49ms
step:39/1480 train_time:1225ms step_avg:31.42ms
step:40/1480 train_time:1259ms step_avg:31.48ms
step:41/1480 train_time:1287ms step_avg:31.39ms
step:42/1480 train_time:1321ms step_avg:31.46ms
step:43/1480 train_time:1349ms step_avg:31.37ms
step:44/1480 train_time:1383ms step_avg:31.44ms
step:45/1480 train_time:1411ms step_avg:31.36ms
step:46/1480 train_time:1445ms step_avg:31.42ms
step:47/1480 train_time:1473ms step_avg:31.35ms
step:48/1480 train_time:1508ms step_avg:31.42ms
step:49/1480 train_time:1536ms step_avg:31.34ms
step:50/1480 train_time:1570ms step_avg:31.40ms
step:51/1480 train_time:1598ms step_avg:31.33ms
step:52/1480 train_time:1632ms step_avg:31.38ms
step:53/1480 train_time:1660ms step_avg:31.32ms
step:54/1480 train_time:1694ms step_avg:31.36ms
step:55/1480 train_time:1722ms step_avg:31.31ms
step:56/1480 train_time:1756ms step_avg:31.35ms
