W0420 01:43:41.913000 97727 torch/distributed/run.py:852] 
W0420 01:43:41.913000 97727 torch/distributed/run.py:852] *****************************************
W0420 01:43:41.913000 97727 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:43:41.913000 97727 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank [Gloo] Rank [Gloo] Rank 2456 is connected to  is connected to  is connected to  is connected to 7777 peer ranks.  peer ranks.  peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77
77


[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92691.80it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 100462.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56871.92it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 95325.09it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 94254.02it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 94786.53it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 59493.67it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 53601.33it/s]
logs/79994a43-dd99-4063-83b5-f84957875c36.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8334 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:75ms step_avg:74.85ms
step:2/1480 train_time:96ms step_avg:47.82ms
step:3/1480 train_time:112ms step_avg:37.24ms
step:4/1480 train_time:145ms step_avg:36.35ms
step:5/1480 train_time:173ms step_avg:34.56ms
step:6/1480 train_time:207ms step_avg:34.52ms
step:7/1480 train_time:235ms step_avg:33.55ms
step:8/1480 train_time:270ms step_avg:33.70ms
step:9/1480 train_time:297ms step_avg:32.97ms
step:10/1480 train_time:331ms step_avg:33.10ms
step:11/1480 train_time:359ms step_avg:32.62ms
step:12/1480 train_time:393ms step_avg:32.77ms
step:13/1480 train_time:421ms step_avg:32.38ms
step:14/1480 train_time:455ms step_avg:32.51ms
step:15/1480 train_time:483ms step_avg:32.21ms
step:16/1480 train_time:517ms step_avg:32.34ms
step:17/1480 train_time:545ms step_avg:32.08ms
step:18/1480 train_time:580ms step_avg:32.20ms
step:19/1480 train_time:608ms step_avg:31.98ms
step:20/1480 train_time:641ms step_avg:32.07ms
step:21/1480 train_time:670ms step_avg:31.90ms
step:22/1480 train_time:704ms step_avg:32.00ms
step:23/1480 train_time:732ms step_avg:31.84ms
step:24/1480 train_time:766ms step_avg:31.92ms
step:25/1480 train_time:794ms step_avg:31.77ms
step:26/1480 train_time:828ms step_avg:31.86ms
step:27/1480 train_time:856ms step_avg:31.71ms
step:28/1480 train_time:891ms step_avg:31.81ms
step:29/1480 train_time:919ms step_avg:31.67ms
step:30/1480 train_time:953ms step_avg:31.77ms
step:31/1480 train_time:981ms step_avg:31.64ms
step:32/1480 train_time:1016ms step_avg:31.75ms
step:33/1480 train_time:1044ms step_avg:31.63ms
step:34/1480 train_time:1079ms step_avg:31.73ms
step:35/1480 train_time:1107ms step_avg:31.63ms
step:36/1480 train_time:1141ms step_avg:31.69ms
step:37/1480 train_time:1169ms step_avg:31.60ms
step:38/1480 train_time:1203ms step_avg:31.67ms
step:39/1480 train_time:1232ms step_avg:31.59ms
step:40/1480 train_time:1266ms step_avg:31.65ms
step:41/1480 train_time:1295ms step_avg:31.58ms
step:42/1480 train_time:1329ms step_avg:31.64ms
step:43/1480 train_time:1357ms step_avg:31.56ms
step:44/1480 train_time:1392ms step_avg:31.63ms
step:45/1480 train_time:1419ms step_avg:31.54ms
step:46/1480 train_time:1454ms step_avg:31.60ms
step:47/1480 train_time:1482ms step_avg:31.52ms
step:48/1480 train_time:1516ms step_avg:31.57ms
step:49/1480 train_time:1543ms step_avg:31.49ms
step:50/1480 train_time:1578ms step_avg:31.55ms
step:51/1480 train_time:1606ms step_avg:31.48ms
step:52/1480 train_time:1640ms step_avg:31.53ms
step:53/1480 train_time:1668ms step_avg:31.46ms
step:54/1480 train_time:1701ms step_avg:31.51ms
step:55/1480 train_time:1730ms step_avg:31.45ms
