W0420 01:46:36.869000 100462 torch/distributed/run.py:852] 
W0420 01:46:36.869000 100462 torch/distributed/run.py:852] *****************************************
W0420 01:46:36.869000 100462 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:46:36.869000 100462 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 5[Gloo] Rank [Gloo] Rank 3 is connected to 76 is connected to 7 is connected to  is connected to 7 peer ranks. 77 peer ranks. Expected number of connected peer ranks is :  peer ranks.  peer ranks. Expected number of connected peer ranks is : 7Expected number of connected peer ranks is : Expected number of connected peer ranks is : 7
77


Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93727.46it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 55188.21it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92182.51it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 93206.76it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 99864.38it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 98112.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 83055.52it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 55738.26it/s]
logs/aa02bce7-51dd-4113-8b22-266fb27bebf7.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8302 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:65ms step_avg:64.68ms
step:2/1480 train_time:85ms step_avg:42.35ms
step:3/1480 train_time:102ms step_avg:34.10ms
step:4/1480 train_time:137ms step_avg:34.18ms
step:5/1480 train_time:164ms step_avg:32.79ms
step:6/1480 train_time:199ms step_avg:33.11ms
step:7/1480 train_time:227ms step_avg:32.36ms
step:8/1480 train_time:261ms step_avg:32.60ms
step:9/1480 train_time:289ms step_avg:32.06ms
step:10/1480 train_time:323ms step_avg:32.27ms
step:11/1480 train_time:350ms step_avg:31.86ms
step:12/1480 train_time:384ms step_avg:32.03ms
step:13/1480 train_time:412ms step_avg:31.72ms
step:14/1480 train_time:446ms step_avg:31.89ms
step:15/1480 train_time:475ms step_avg:31.64ms
step:16/1480 train_time:508ms step_avg:31.78ms
step:17/1480 train_time:537ms step_avg:31.56ms
step:18/1480 train_time:570ms step_avg:31.68ms
step:19/1480 train_time:599ms step_avg:31.50ms
step:20/1480 train_time:633ms step_avg:31.64ms
step:21/1480 train_time:661ms step_avg:31.46ms
step:22/1480 train_time:695ms step_avg:31.57ms
step:23/1480 train_time:723ms step_avg:31.41ms
step:24/1480 train_time:757ms step_avg:31.54ms
step:25/1480 train_time:785ms step_avg:31.39ms
step:26/1480 train_time:820ms step_avg:31.52ms
step:27/1480 train_time:847ms step_avg:31.39ms
step:28/1480 train_time:882ms step_avg:31.48ms
step:29/1480 train_time:909ms step_avg:31.36ms
step:30/1480 train_time:944ms step_avg:31.46ms
step:31/1480 train_time:972ms step_avg:31.36ms
step:32/1480 train_time:1006ms step_avg:31.44ms
step:33/1480 train_time:1035ms step_avg:31.38ms
step:34/1480 train_time:1069ms step_avg:31.45ms
step:35/1480 train_time:1098ms step_avg:31.36ms
step:36/1480 train_time:1132ms step_avg:31.44ms
step:37/1480 train_time:1160ms step_avg:31.35ms
step:38/1480 train_time:1194ms step_avg:31.42ms
step:39/1480 train_time:1222ms step_avg:31.34ms
step:40/1480 train_time:1257ms step_avg:31.41ms
step:41/1480 train_time:1284ms step_avg:31.33ms
step:42/1480 train_time:1319ms step_avg:31.40ms
step:43/1480 train_time:1347ms step_avg:31.32ms
step:44/1480 train_time:1381ms step_avg:31.39ms
step:45/1480 train_time:1409ms step_avg:31.32ms
step:46/1480 train_time:1444ms step_avg:31.39ms
step:47/1480 train_time:1472ms step_avg:31.31ms
step:48/1480 train_time:1506ms step_avg:31.37ms
step:49/1480 train_time:1534ms step_avg:31.31ms
step:50/1480 train_time:1568ms step_avg:31.36ms
step:51/1480 train_time:1596ms step_avg:31.30ms
step:52/1480 train_time:1630ms step_avg:31.35ms
step:53/1480 train_time:1658ms step_avg:31.29ms
step:54/1480 train_time:1692ms step_avg:31.34ms
step:55/1480 train_time:1721ms step_avg:31.28ms
step:56/1480 train_time:1755ms step_avg:31.34ms
step:57/1480 train_time:1783ms step_avg:31.27ms
step:58/1480 train_time:1817ms step_avg:31.33ms
step:59/1480 train_time:1845ms step_avg:31.27ms
step:60/1480 train_time:1880ms step_avg:31.33ms
step:61/1480 train_time:1908ms step_avg:31.27ms
step:62/1480 train_time:1942ms step_avg:31.32ms
step:63/1480 train_time:1970ms step_avg:31.26ms
step:64/1480 train_time:2004ms step_avg:31.31ms
step:65/1480 train_time:2032ms step_avg:31.27ms
step:66/1480 train_time:2066ms step_avg:31.31ms
step:67/1480 train_time:2095ms step_avg:31.26ms
step:68/1480 train_time:2129ms step_avg:31.30ms
step:69/1480 train_time:2157ms step_avg:31.26ms
step:70/1480 train_time:2191ms step_avg:31.30ms
step:71/1480 train_time:2219ms step_avg:31.26ms
step:72/1480 train_time:2254ms step_avg:31.30ms
step:73/1480 train_time:2282ms step_avg:31.26ms
step:74/1480 train_time:2317ms step_avg:31.31ms
step:75/1480 train_time:2345ms step_avg:31.26ms
step:76/1480 train_time:2379ms step_avg:31.31ms
step:77/1480 train_time:2407ms step_avg:31.26ms
step:78/1480 train_time:2442ms step_avg:31.31ms
step:79/1480 train_time:2470ms step_avg:31.26ms
step:80/1480 train_time:2504ms step_avg:31.30ms
step:81/1480 train_time:2532ms step_avg:31.26ms
step:82/1480 train_time:2566ms step_avg:31.29ms
step:83/1480 train_time:2594ms step_avg:31.25ms
step:84/1480 train_time:2628ms step_avg:31.28ms
step:85/1480 train_time:2656ms step_avg:31.25ms
step:86/1480 train_time:2690ms step_avg:31.28ms
step:87/1480 train_time:2719ms step_avg:31.25ms
step:88/1480 train_time:2753ms step_avg:31.28ms
step:89/1480 train_time:2781ms step_avg:31.25ms
step:90/1480 train_time:2816ms step_avg:31.29ms
step:91/1480 train_time:2844ms step_avg:31.25ms
step:92/1480 train_time:2879ms step_avg:31.29ms
step:93/1480 train_time:2907ms step_avg:31.26ms
step:94/1480 train_time:2942ms step_avg:31.29ms
step:95/1480 train_time:2969ms step_avg:31.26ms
step:96/1480 train_time:3004ms step_avg:31.29ms
step:97/1480 train_time:3032ms step_avg:31.26ms
step:98/1480 train_time:3066ms step_avg:31.28ms
step:99/1480 train_time:3094ms step_avg:31.25ms
step:100/1480 train_time:3128ms step_avg:31.28ms
step:101/1480 train_time:3156ms step_avg:31.25ms
step:102/1480 train_time:3190ms step_avg:31.27ms
step:103/1480 train_time:3218ms step_avg:31.25ms
step:104/1480 train_time:3253ms step_avg:31.27ms
step:105/1480 train_time:3281ms step_avg:31.25ms
step:106/1480 train_time:3315ms step_avg:31.27ms
step:107/1480 train_time:3343ms step_avg:31.24ms
step:108/1480 train_time:3377ms step_avg:31.27ms
step:109/1480 train_time:3405ms step_avg:31.24ms
step:110/1480 train_time:3440ms step_avg:31.27ms
step:111/1480 train_time:3468ms step_avg:31.24ms
step:112/1480 train_time:3502ms step_avg:31.27ms
step:113/1480 train_time:3530ms step_avg:31.24ms
step:114/1480 train_time:3564ms step_avg:31.27ms
step:115/1480 train_time:3592ms step_avg:31.24ms
step:116/1480 train_time:3626ms step_avg:31.26ms
step:117/1480 train_time:3655ms step_avg:31.24ms
step:118/1480 train_time:3689ms step_avg:31.26ms
step:119/1480 train_time:3717ms step_avg:31.23ms
step:120/1480 train_time:3751ms step_avg:31.26ms
step:121/1480 train_time:3779ms step_avg:31.23ms
step:122/1480 train_time:3814ms step_avg:31.26ms
step:123/1480 train_time:3842ms step_avg:31.24ms
step:124/1480 train_time:3877ms step_avg:31.26ms
step:125/1480 train_time:3905ms step_avg:31.24ms
step:126/1480 train_time:3939ms step_avg:31.26ms
step:127/1480 train_time:3967ms step_avg:31.24ms
step:128/1480 train_time:4002ms step_avg:31.26ms
step:129/1480 train_time:4029ms step_avg:31.23ms
step:130/1480 train_time:4064ms step_avg:31.26ms
step:131/1480 train_time:4091ms step_avg:31.23ms
step:132/1480 train_time:4125ms step_avg:31.25ms
step:133/1480 train_time:4154ms step_avg:31.23ms
step:134/1480 train_time:4188ms step_avg:31.25ms
step:135/1480 train_time:4216ms step_avg:31.23ms
step:136/1480 train_time:4250ms step_avg:31.25ms
step:137/1480 train_time:4279ms step_avg:31.23ms
step:138/1480 train_time:4313ms step_avg:31.25ms
step:139/1480 train_time:4341ms step_avg:31.23ms
step:140/1480 train_time:4375ms step_avg:31.25ms
step:141/1480 train_time:4403ms step_avg:31.23ms
step:142/1480 train_time:4438ms step_avg:31.25ms
step:143/1480 train_time:4465ms step_avg:31.23ms
step:144/1480 train_time:4500ms step_avg:31.25ms
step:145/1480 train_time:4528ms step_avg:31.23ms
step:146/1480 train_time:4562ms step_avg:31.25ms
step:147/1480 train_time:4590ms step_avg:31.22ms
step:148/1480 train_time:4624ms step_avg:31.25ms
step:149/1480 train_time:4652ms step_avg:31.22ms
step:150/1480 train_time:4686ms step_avg:31.24ms
step:151/1480 train_time:4714ms step_avg:31.22ms
step:152/1480 train_time:4749ms step_avg:31.24ms
step:153/1480 train_time:4777ms step_avg:31.22ms
step:154/1480 train_time:4811ms step_avg:31.24ms
step:155/1480 train_time:4839ms step_avg:31.22ms
step:156/1480 train_time:4873ms step_avg:31.24ms
step:157/1480 train_time:4901ms step_avg:31.22ms
step:158/1480 train_time:4935ms step_avg:31.24ms
step:159/1480 train_time:4963ms step_avg:31.22ms
step:160/1480 train_time:4998ms step_avg:31.24ms
step:161/1480 train_time:5026ms step_avg:31.22ms
step:162/1480 train_time:5060ms step_avg:31.23ms
step:163/1480 train_time:5088ms step_avg:31.21ms
step:164/1480 train_time:5122ms step_avg:31.23ms
step:165/1480 train_time:5150ms step_avg:31.21ms
step:166/1480 train_time:5184ms step_avg:31.23ms
step:167/1480 train_time:5212ms step_avg:31.21ms
step:168/1480 train_time:5246ms step_avg:31.23ms
step:169/1480 train_time:5274ms step_avg:31.21ms
step:170/1480 train_time:5308ms step_avg:31.22ms
step:171/1480 train_time:5337ms step_avg:31.21ms
step:172/1480 train_time:5371ms step_avg:31.22ms
step:173/1480 train_time:5398ms step_avg:31.20ms
step:174/1480 train_time:5432ms step_avg:31.22ms
step:175/1480 train_time:5460ms step_avg:31.20ms
step:176/1480 train_time:5495ms step_avg:31.22ms
step:177/1480 train_time:5523ms step_avg:31.20ms
step:178/1480 train_time:5557ms step_avg:31.22ms
step:179/1480 train_time:5585ms step_avg:31.20ms
step:180/1480 train_time:5619ms step_avg:31.22ms
step:181/1480 train_time:5647ms step_avg:31.20ms
step:182/1480 train_time:5681ms step_avg:31.22ms
step:183/1480 train_time:5709ms step_avg:31.20ms
step:184/1480 train_time:5744ms step_avg:31.22ms
step:185/1480 train_time:5772ms step_avg:31.20ms
step:186/1480 train_time:5806ms step_avg:31.21ms
step:187/1480 train_time:5834ms step_avg:31.20ms
step:188/1480 train_time:5868ms step_avg:31.21ms
step:189/1480 train_time:5896ms step_avg:31.20ms
step:190/1480 train_time:5930ms step_avg:31.21ms
step:191/1480 train_time:5958ms step_avg:31.20ms
step:192/1480 train_time:5992ms step_avg:31.21ms
step:193/1480 train_time:6020ms step_avg:31.19ms
step:194/1480 train_time:6055ms step_avg:31.21ms
step:195/1480 train_time:6083ms step_avg:31.19ms
