W0420 01:49:31.808000 103466 torch/distributed/run.py:852] 
W0420 01:49:31.808000 103466 torch/distributed/run.py:852] *****************************************
W0420 01:49:31.808000 103466 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:49:31.808000 103466 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 76 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 98112.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 95869.81it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 97541.95it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 94254.02it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56299.38it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 83886.08it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 99273.47it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 57852.47it/s]
logs/019ba401-9826-4452-939d-abd07a9c6197.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8297 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:70ms step_avg:69.81ms
step:2/1480 train_time:89ms step_avg:44.72ms
step:3/1480 train_time:106ms step_avg:35.22ms
step:4/1480 train_time:140ms step_avg:35.01ms
step:5/1480 train_time:167ms step_avg:33.47ms
step:6/1480 train_time:202ms step_avg:33.60ms
step:7/1480 train_time:229ms step_avg:32.76ms
step:8/1480 train_time:264ms step_avg:33.00ms
step:9/1480 train_time:291ms step_avg:32.38ms
step:10/1480 train_time:326ms step_avg:32.59ms
step:11/1480 train_time:354ms step_avg:32.15ms
step:12/1480 train_time:388ms step_avg:32.33ms
step:13/1480 train_time:416ms step_avg:31.98ms
step:14/1480 train_time:450ms step_avg:32.15ms
step:15/1480 train_time:478ms step_avg:31.86ms
step:16/1480 train_time:512ms step_avg:32.01ms
step:17/1480 train_time:540ms step_avg:31.77ms
step:18/1480 train_time:574ms step_avg:31.90ms
step:19/1480 train_time:602ms step_avg:31.69ms
step:20/1480 train_time:636ms step_avg:31.81ms
step:21/1480 train_time:664ms step_avg:31.63ms
step:22/1480 train_time:698ms step_avg:31.74ms
step:23/1480 train_time:726ms step_avg:31.58ms
step:24/1480 train_time:761ms step_avg:31.69ms
step:25/1480 train_time:789ms step_avg:31.54ms
step:26/1480 train_time:823ms step_avg:31.65ms
step:27/1480 train_time:851ms step_avg:31.52ms
step:28/1480 train_time:886ms step_avg:31.63ms
step:29/1480 train_time:913ms step_avg:31.50ms
step:30/1480 train_time:948ms step_avg:31.59ms
step:31/1480 train_time:976ms step_avg:31.48ms
step:32/1480 train_time:1011ms step_avg:31.60ms
step:33/1480 train_time:1039ms step_avg:31.49ms
step:34/1480 train_time:1074ms step_avg:31.59ms
step:35/1480 train_time:1102ms step_avg:31.50ms
step:36/1480 train_time:1137ms step_avg:31.57ms
step:37/1480 train_time:1165ms step_avg:31.49ms
step:38/1480 train_time:1199ms step_avg:31.56ms
step:39/1480 train_time:1228ms step_avg:31.48ms
step:40/1480 train_time:1262ms step_avg:31.56ms
step:41/1480 train_time:1290ms step_avg:31.47ms
step:42/1480 train_time:1324ms step_avg:31.54ms
step:43/1480 train_time:1352ms step_avg:31.45ms
step:44/1480 train_time:1386ms step_avg:31.51ms
step:45/1480 train_time:1414ms step_avg:31.43ms
step:46/1480 train_time:1449ms step_avg:31.50ms
step:47/1480 train_time:1477ms step_avg:31.43ms
step:48/1480 train_time:1511ms step_avg:31.49ms
step:49/1480 train_time:1540ms step_avg:31.43ms
step:50/1480 train_time:1574ms step_avg:31.49ms
step:51/1480 train_time:1602ms step_avg:31.42ms
step:52/1480 train_time:1637ms step_avg:31.47ms
step:53/1480 train_time:1665ms step_avg:31.41ms
step:54/1480 train_time:1699ms step_avg:31.46ms
step:55/1480 train_time:1727ms step_avg:31.40ms
step:56/1480 train_time:1761ms step_avg:31.44ms
step:57/1480 train_time:1789ms step_avg:31.38ms
step:58/1480 train_time:1823ms step_avg:31.43ms
