W0420 01:52:27.226000 106216 torch/distributed/run.py:852] 
W0420 01:52:27.226000 106216 torch/distributed/run.py:852] *****************************************
W0420 01:52:27.226000 106216 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:52:27.226000 106216 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank [Gloo] Rank 64 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : [Gloo] Rank 77

5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 98112.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 98689.51it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 96420.78it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 49636.73it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 96978.13it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92691.80it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 100462.37it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92182.51it/s]
logs/ecf1f6b6-73ae-433a-84c8-3b39e0e172ea.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8310 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:76ms step_avg:75.78ms
step:2/1480 train_time:97ms step_avg:48.35ms
step:3/1480 train_time:113ms step_avg:37.80ms
step:4/1480 train_time:148ms step_avg:36.99ms
step:5/1480 train_time:176ms step_avg:35.12ms
step:6/1480 train_time:210ms step_avg:35.08ms
step:7/1480 train_time:238ms step_avg:34.04ms
step:8/1480 train_time:273ms step_avg:34.09ms
step:9/1480 train_time:301ms step_avg:33.42ms
step:10/1480 train_time:335ms step_avg:33.53ms
step:11/1480 train_time:363ms step_avg:33.03ms
step:12/1480 train_time:398ms step_avg:33.13ms
step:13/1480 train_time:426ms step_avg:32.75ms
step:14/1480 train_time:460ms step_avg:32.86ms
step:15/1480 train_time:489ms step_avg:32.58ms
step:16/1480 train_time:523ms step_avg:32.67ms
step:17/1480 train_time:551ms step_avg:32.43ms
step:18/1480 train_time:585ms step_avg:32.52ms
step:19/1480 train_time:614ms step_avg:32.31ms
step:20/1480 train_time:648ms step_avg:32.40ms
step:21/1480 train_time:676ms step_avg:32.20ms
step:22/1480 train_time:710ms step_avg:32.29ms
step:23/1480 train_time:739ms step_avg:32.11ms
step:24/1480 train_time:773ms step_avg:32.21ms
step:25/1480 train_time:801ms step_avg:32.05ms
step:26/1480 train_time:836ms step_avg:32.15ms
step:27/1480 train_time:864ms step_avg:31.99ms
step:28/1480 train_time:898ms step_avg:32.07ms
step:29/1480 train_time:926ms step_avg:31.94ms
step:30/1480 train_time:961ms step_avg:32.02ms
step:31/1480 train_time:989ms step_avg:31.90ms
step:32/1480 train_time:1023ms step_avg:31.98ms
step:33/1480 train_time:1052ms step_avg:31.87ms
step:34/1480 train_time:1086ms step_avg:31.93ms
step:35/1480 train_time:1114ms step_avg:31.83ms
step:36/1480 train_time:1149ms step_avg:31.90ms
step:37/1480 train_time:1176ms step_avg:31.79ms
step:38/1480 train_time:1210ms step_avg:31.85ms
step:39/1480 train_time:1239ms step_avg:31.76ms
step:40/1480 train_time:1273ms step_avg:31.82ms
step:41/1480 train_time:1301ms step_avg:31.74ms
step:42/1480 train_time:1336ms step_avg:31.81ms
step:43/1480 train_time:1364ms step_avg:31.72ms
step:44/1480 train_time:1399ms step_avg:31.79ms
step:45/1480 train_time:1427ms step_avg:31.70ms
step:46/1480 train_time:1461ms step_avg:31.76ms
step:47/1480 train_time:1489ms step_avg:31.68ms
step:48/1480 train_time:1523ms step_avg:31.73ms
step:49/1480 train_time:1551ms step_avg:31.66ms
step:50/1480 train_time:1585ms step_avg:31.71ms
step:51/1480 train_time:1614ms step_avg:31.64ms
step:52/1480 train_time:1648ms step_avg:31.70ms
step:53/1480 train_time:1676ms step_avg:31.62ms
step:54/1480 train_time:1710ms step_avg:31.67ms
step:55/1480 train_time:1738ms step_avg:31.61ms
step:56/1480 train_time:1773ms step_avg:31.66ms
step:57/1480 train_time:1801ms step_avg:31.60ms
step:58/1480 train_time:1836ms step_avg:31.65ms
step:59/1480 train_time:1864ms step_avg:31.59ms
step:60/1480 train_time:1898ms step_avg:31.64ms
step:61/1480 train_time:1926ms step_avg:31.58ms
step:62/1480 train_time:1961ms step_avg:31.62ms
step:63/1480 train_time:1989ms step_avg:31.58ms
step:64/1480 train_time:2023ms step_avg:31.62ms
