W0420 01:57:52.980000 110451 torch/distributed/run.py:852] 
W0420 01:57:52.980000 110451 torch/distributed/run.py:852] *****************************************
W0420 01:57:52.980000 110451 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 01:57:52.980000 110451 torch/distributed/run.py:852] *****************************************
[Gloo] Rank [Gloo] Rank 40 is connected to  is connected to 77 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 77

[Gloo] Rank [Gloo] Rank [Gloo] Rank [Gloo] Rank [Gloo] Rank 3[Gloo] Rank 1257 is connected to 6 is connected to  is connected to  is connected to  is connected to 7 is connected to 7777 peer ranks. 7 peer ranks.  peer ranks.  peer ranks.  peer ranks. Expected number of connected peer ranks is :  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : Expected number of connected peer ranks is : 7Expected number of connected peer ranks is : 7777
7




Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 88768.34it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 99864.38it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 57653.66it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92182.51it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 57456.22it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 59918.63it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 95869.81it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56111.09it/s]
logs/abc2d7be-1daf-4d9a-8183-f6b0f1f31be1.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8298 train_time:0ms step_avg:0.04ms
step:1/1480 train_time:70ms step_avg:69.70ms
step:2/1480 train_time:89ms step_avg:44.35ms
step:3/1480 train_time:109ms step_avg:36.20ms
step:4/1480 train_time:143ms step_avg:35.70ms
step:5/1480 train_time:171ms step_avg:34.13ms
step:6/1480 train_time:205ms step_avg:34.11ms
step:7/1480 train_time:233ms step_avg:33.24ms
step:8/1480 train_time:267ms step_avg:33.38ms
step:9/1480 train_time:295ms step_avg:32.78ms
step:10/1480 train_time:329ms step_avg:32.93ms
step:11/1480 train_time:358ms step_avg:32.52ms
step:12/1480 train_time:392ms step_avg:32.67ms
step:13/1480 train_time:420ms step_avg:32.32ms
step:14/1480 train_time:455ms step_avg:32.47ms
step:15/1480 train_time:483ms step_avg:32.19ms
step:16/1480 train_time:517ms step_avg:32.33ms
step:17/1480 train_time:546ms step_avg:32.10ms
step:18/1480 train_time:580ms step_avg:32.20ms
step:19/1480 train_time:608ms step_avg:32.02ms
step:20/1480 train_time:642ms step_avg:32.12ms
step:21/1480 train_time:671ms step_avg:31.95ms
step:22/1480 train_time:705ms step_avg:32.04ms
step:23/1480 train_time:733ms step_avg:31.88ms
step:24/1480 train_time:767ms step_avg:31.97ms
step:25/1480 train_time:796ms step_avg:31.83ms
step:26/1480 train_time:830ms step_avg:31.91ms
step:27/1480 train_time:858ms step_avg:31.78ms
step:28/1480 train_time:893ms step_avg:31.88ms
step:29/1480 train_time:921ms step_avg:31.75ms
step:30/1480 train_time:955ms step_avg:31.84ms
step:31/1480 train_time:984ms step_avg:31.73ms
step:32/1480 train_time:1019ms step_avg:31.83ms
step:33/1480 train_time:1047ms step_avg:31.74ms
step:34/1480 train_time:1081ms step_avg:31.80ms
step:35/1480 train_time:1110ms step_avg:31.71ms
step:36/1480 train_time:1144ms step_avg:31.77ms
step:37/1480 train_time:1172ms step_avg:31.68ms
step:38/1480 train_time:1206ms step_avg:31.75ms
step:39/1480 train_time:1235ms step_avg:31.67ms
step:40/1480 train_time:1269ms step_avg:31.73ms
step:41/1480 train_time:1298ms step_avg:31.65ms
step:42/1480 train_time:1332ms step_avg:31.73ms
step:43/1480 train_time:1361ms step_avg:31.65ms
step:44/1480 train_time:1395ms step_avg:31.71ms
step:45/1480 train_time:1423ms step_avg:31.63ms
step:46/1480 train_time:1457ms step_avg:31.68ms
step:47/1480 train_time:1486ms step_avg:31.62ms
step:48/1480 train_time:1520ms step_avg:31.68ms
step:49/1480 train_time:1549ms step_avg:31.61ms
step:50/1480 train_time:1583ms step_avg:31.65ms
step:51/1480 train_time:1611ms step_avg:31.59ms
step:52/1480 train_time:1645ms step_avg:31.63ms
step:53/1480 train_time:1674ms step_avg:31.58ms
step:54/1480 train_time:1708ms step_avg:31.62ms
step:55/1480 train_time:1736ms step_avg:31.57ms
step:56/1480 train_time:1771ms step_avg:31.62ms
step:57/1480 train_time:1799ms step_avg:31.56ms
step:58/1480 train_time:1833ms step_avg:31.61ms
step:59/1480 train_time:1861ms step_avg:31.55ms
