byte_window_size,byte_embedding_dim,byte_pad_side,val_loss,train_time_ms,step_avg_ms,peak_alloc_mib,peak_reserved_mib,wallclock_s,status,log_path
4,16,left,3.2758,84461,57.07,31347,46068,322.6,ok,sweep_logs/w4_d16_left_1776647607.log
4,16,right,3.2784,84571,57.14,31347,45748,175.0,ok,sweep_logs/w4_d16_right_1776647929.log
4,32,left,3.2798,84513,57.1,31310,44388,323.1,ok,sweep_logs/w4_d32_left_1776648104.log
4,32,right,3.2791,84540,57.12,31348,45748,174.9,ok,sweep_logs/w4_d32_right_1776648427.log
4,64,left,3.28,84653,57.2,31351,45970,322.6,ok,sweep_logs/w4_d64_left_1776648602.log
4,64,right,3.2778,84670,57.21,31351,45930,174.3,ok,sweep_logs/w4_d64_right_1776648925.log
8,16,left,3.2784,84707,57.23,31312,45708,321.5,ok,sweep_logs/w8_d16_left_1776649099.log
8,16,right,3.2795,84870,57.34,31350,46668,175.0,ok,sweep_logs/w8_d16_right_1776649420.log
8,32,left,3.2758,84858,57.34,31352,46010,174.9,ok,sweep_logs/w8_d32_left_1776649595.log
8,32,right,3.2785,84881,57.35,31352,46770,175.4,ok,sweep_logs/w8_d32_right_1776649770.log
8,64,left,3.278,85351,57.67,31357,45930,325.8,ok,sweep_logs/w8_d64_left_1776649946.log
8,64,right,3.2761,85357,57.67,31319,40190,174.8,ok,sweep_logs/w8_d64_right_1776650272.log
16,16,left,3.2793,85328,57.65,31355,46670,325.0,ok,sweep_logs/w16_d16_left_1776650446.log
16,16,right,3.279,85329,57.65,31317,46010,175.9,ok,sweep_logs/w16_d16_right_1776650771.log
16,32,left,3.278,85725,57.92,30541,45588,327.5,ok,sweep_logs/w16_d32_left_1776650947.log
16,32,right,3.277,85710,57.91,31360,45990,175.5,ok,sweep_logs/w16_d32_right_1776651275.log
16,64,left,3.2778,86851,58.68,30550,46146,327.1,ok,sweep_logs/w16_d64_left_1776651450.log
16,64,right,3.2782,86823,58.66,31331,45906,176.7,ok,sweep_logs/w16_d64_right_1776651777.log
